source,target,source_group,target_group,forward_support,reverse_support,shared_support_min,union_support_max,direction_balance,sign
MLP12,MLP16,no_tool_bias_backbone,symmetric_backbone,0.18056772513464933,0.25363516674202663,0.18056772513464933,0.25363516674202663,0.16827949093469005,no_tool_bias
L16H4,MLP17,no_tool_bias_backbone,no_tool_bias_backbone,0.17823767402403098,0.4113800923525468,0.17823767402403098,0.4113800923525468,0.3954128108473789,no_tool_bias
MLP17,L18H14,no_tool_bias_backbone,tool_tail,0.2648512666400386,0.1724349798046261,0.1724349798046261,0.2648512666400386,-0.2113404836918581,tool_bias
MLP16,L17H2,symmetric_backbone,no_tool_tail,0.1579950665520813,0.30009418483057904,0.1579950665520813,0.30009418483057904,0.31019963434985,no_tool_bias
L13H9,MLP16,symmetric_backbone,symmetric_backbone,0.15261594984134322,0.14109622278105435,0.14109622278105435,0.15261594984134322,-0.03922114278558984,shared
MLP16,L20H5,symmetric_backbone,symmetric_backbone,0.1630991971589887,0.13863993251934978,0.13863993251934978,0.1630991971589887,-0.08106096370634172,tool_bias
MLP11,MLP12,tool_bias_backbone,no_tool_bias_backbone,0.13804995409310075,0.1446177188087482,0.13804995409310075,0.1446177188087482,0.0232349339711301,shared
MLP16,L21H1,symmetric_backbone,tool_bias_backbone,0.20240053661248145,0.13399714883403482,0.13399714883403482,0.20240053661248145,-0.2033408395413055,tool_bias
MLP16,L18H14,symmetric_backbone,tool_tail,0.2247341181368313,0.1270182934201751,0.1270182934201751,0.2247341181368313,-0.27779717069777643,tool_bias
L20H5,L21H12,symmetric_backbone,tool_bias_backbone,0.3897521558643775,0.12699942663289365,0.12699942663289365,0.3897521558643775,-0.5084701007816873,tool_bias
L12H6,MLP16,symmetric_backbone,symmetric_backbone,0.1287510712334068,0.12516284886620183,0.12516284886620183,0.1287510712334068,-0.014131648890290572,shared
L18H14,MLP19,tool_tail,symmetric_backbone,0.1302646863784441,0.12418687950041574,0.12418687950041574,0.1302646863784441,-0.023885908727014498,shared
MLP11,L12H6,tool_bias_backbone,symmetric_backbone,0.22910144366422971,0.11807719556599695,0.11807719556599695,0.22910144366422971,-0.3197899742461073,tool_bias
MLP11,L16H4,tool_bias_backbone,no_tool_bias_backbone,0.10959589494031456,0.1774363132392164,0.10959589494031456,0.1774363132392164,0.23635123991545048,no_tool_bias
