condition,layer,head,query_span,key_span,mass_mean,density_mean
clean,0,L0H3,tool_call_example,tools_block,0.0017345687129838622,3.212164251386715e-05
clean,0,L0H3,tool_call_example,tool_instruction,0.0020330361498387276,9.241073519717376e-05
clean,0,L0H3,tool_call_example,tool_call_example,0.9954108832707097,0.043278733467894896
clean,0,L0H3,tool_call_example,user_lead_phrase,0.0,0.0
clean,0,L0H3,tool_call_example,function_body_anchor,0.0,0.0
clean,0,L0H3,tool_call_example,file_target,0.0,0.0
clean,0,L0H3,tool_call_example,instruction_suffix,0.0,0.0
clean,0,L0H3,tool_call_example,task_body,0.0,0.0
clean,0,L0H3,tool_call_example,assistant_prefix,0.0,0.0
clean,0,L0H3,user_lead_phrase,system_preamble,0.0019149004442420067,5.471144063118245e-05
clean,0,L0H3,user_lead_phrase,tools_block,0.0037852762986522073,7.009770994143702e-05
clean,0,L0H3,user_lead_phrase,tool_instruction,0.0016883374209787417,7.674260956645087e-05
clean,0,L0H3,user_lead_phrase,tool_call_example,0.02403170898517587,0.001044856906971535
clean,0,L0H3,user_lead_phrase,user_lead_phrase,0.9685797890189819,0.6900457790272214
clean,0,L0H3,user_lead_phrase,function_body_anchor,0.0,0.0
clean,0,L0H3,user_lead_phrase,file_target,0.0,0.0
clean,0,L0H3,user_lead_phrase,instruction_suffix,0.0,0.0
clean,0,L0H3,user_lead_phrase,task_body,0.0,0.0
clean,0,L0H3,user_lead_phrase,assistant_prefix,0.0,0.0
clean,0,L0H3,function_body_anchor,system_preamble,0.00034517792491577353,9.862226419387039e-06
clean,0,L0H3,function_body_anchor,tools_block,0.0010456174143433164,1.9363285444302026e-05
clean,0,L0H3,function_body_anchor,tool_instruction,0.0014483405315017942,6.583365995816898e-05
clean,0,L0H3,function_body_anchor,tool_call_example,0.0009767330063732366,4.246665231650505e-05
clean,0,L0H3,function_body_anchor,user_lead_phrase,0.0023078548569090726,0.001527399094702381
clean,0,L0H3,function_body_anchor,function_body_anchor,0.993876308958158,0.2484690772395395
clean,0,L0H3,function_body_anchor,file_target,0.0,0.0
clean,0,L0H3,function_body_anchor,instruction_suffix,0.0,0.0
clean,0,L0H3,function_body_anchor,task_body,0.0,0.0
clean,0,L0H3,function_body_anchor,assistant_prefix,0.0,0.0
clean,0,L0H3,file_target,system_preamble,0.002785985348921327,7.959958145002079e-05
clean,0,L0H3,file_target,tools_block,0.004428316911572829,8.200586914619429e-05
clean,0,L0H3,file_target,tool_instruction,0.004002338053714956,0.00018192445709034442
clean,0,L0H3,file_target,tool_call_example,0.0046007557052856985,0.00020003285672982434
clean,0,L0H3,file_target,user_lead_phrase,4.561115922929537e-05,1.540399028362757e-05
clean,0,L0H3,file_target,function_body_anchor,0.008134326613519588,0.002033581653379897
clean,0,L0H3,file_target,file_target,0.97600267178098,0.48800133589049
clean,0,L0H3,file_target,instruction_suffix,0.0,0.0
clean,0,L0H3,file_target,task_body,0.0,0.0
clean,0,L0H3,file_target,assistant_prefix,0.0,0.0
clean,0,L0H3,instruction_suffix,system_preamble,0.0007996449513244348,2.2846998551774116e-05
clean,0,L0H3,instruction_suffix,tools_block,0.000949926297372635,1.7591227683732143e-05
clean,0,L0H3,instruction_suffix,tool_instruction,0.0020950764772891145,9.52307490407008e-05
clean,0,L0H3,instruction_suffix,tool_call_example,0.0010191006766337497,4.430872501386787e-05
clean,0,L0H3,instruction_suffix,user_lead_phrase,0.00023222588198317537,0.00012210152042079305
