condition,layer,head,key_span,decision_mass_mean,decision_density_mean
corrupt,13,L13H3,user_lead_phrase,0.03496803719832509,0.019688651190811
corrupt,13,L13H3,function_body_anchor,0.03129562018142186,0.007823905045355465
corrupt,13,L13H3,file_target,0.02286705318518525,0.011433526592592625
corrupt,13,L13H3,instruction_suffix,0.06284824654898581,0.006983138496918224
corrupt,13,L13H3,task_body,0.27829513872439804,0.0036703182973777866
corrupt,13,L13H3,assistant_prefix,0.21197177427086009,0.023552419337537673
corrupt,13,L13H4,system_preamble,0.20853698047720207,0.00595819943783255
corrupt,13,L13H4,tools_block,0.031196575829620647,0.0005777143677757506
corrupt,13,L13H4,tool_instruction,0.02780145785801009,0.0012637026302816494
corrupt,13,L13H4,tool_call_example,0.09195567067112478,0.003998072637254197
corrupt,13,L13H4,user_lead_phrase,0.00458756428523574,0.002805431071289633
corrupt,13,L13H4,function_body_anchor,0.009950717554929517,0.002487679388732379
corrupt,13,L13H4,file_target,0.0075727372353352786,0.0037863686176676393
corrupt,13,L13H4,instruction_suffix,0.009960923966809266,0.0011067693307824458
corrupt,13,L13H4,task_body,0.436842429691519,0.00577217095911515
corrupt,13,L13H4,assistant_prefix,0.1715949400650217,0.019066104459791816
corrupt,13,L13H5,system_preamble,0.5877068944622627,0.01679162557738683
corrupt,13,L13H5,tools_block,0.0036952200274113396,6.843000052182955e-05
corrupt,13,L13H5,tool_instruction,0.005437254906652567,0.0002471479501861082
corrupt,13,L13H5,tool_call_example,0.008772109485538228,0.00038139606500558484
corrupt,13,L13H5,user_lead_phrase,0.0017125643879899665,0.001073608693785694
corrupt,13,L13H5,function_body_anchor,0.0014569283187395466,0.00036423207968488665
corrupt,13,L13H5,file_target,0.001093018858757364,0.000546509429378682
corrupt,13,L13H5,instruction_suffix,0.002884687394557105,0.0003205208213226367
corrupt,13,L13H5,task_body,0.19176789403010466,0.002573861534827566
corrupt,13,L13H5,assistant_prefix,0.19547342816679963,0.02171926980781828
corrupt,13,L13H6,system_preamble,0.11793533986158675,0.0033695811401208892
corrupt,13,L13H6,tools_block,0.04085871671385095,0.0007566429031818636
corrupt,13,L13H6,tool_instruction,0.15843167225430466,0.007201439643907723
corrupt,13,L13H6,tool_call_example,0.06701219952128407,0.002913573891791048
corrupt,13,L13H6,user_lead_phrase,0.011344596527173022,0.005874312694330311
corrupt,13,L13H6,function_body_anchor,0.03617838246463048,0.00904459561615762
corrupt,13,L13H6,file_target,0.023119841978709324,0.011559920989354662
corrupt,13,L13H6,instruction_suffix,0.044911246260937274,0.004990138471597167
corrupt,13,L13H6,task_body,0.14186497416746294,0.0018164116418246524
corrupt,13,L13H6,assistant_prefix,0.35834302954857017,0.03981589218593969
corrupt,13,L13H7,system_preamble,0.22235805904972486,0.006353087399614851
corrupt,13,L13H7,tools_block,0.06787610046096444,0.0012569648241003608
corrupt,13,L13H7,tool_instruction,0.16376637354895215,0.007443926080479572
corrupt,13,L13H7,tool_call_example,0.11619290519423496,0.005051865437938447
corrupt,13,L13H7,user_lead_phrase,0.005772917885674074,0.003107618301935899
corrupt,13,L13H7,function_body_anchor,0.018880408970016197,0.004720102242504049
corrupt,13,L13H7,file_target,0.01714207619909907,0.008571038099549535
