sample_id,chain_key,edge,base_variant,direction,source_ratio,blocked_ratio,mediated_ratio
codecontests_java_4,schema_chain,L21H12->MLP27,clean_no_protocol,tool,0.8715469613259669,0.4972375690607735,0.3743093922651934
codecontests_java_4,no_tool_chain,L16H4->MLP17,clean_full,no_tool,0.10497237569060773,0.055248618784530384,0.049723756906077346
codecontests_java_4,no_tool_chain,MLP17->L23H6,clean_full,no_tool,0.3259668508287293,0.30662983425414364,0.01933701657458564
mbpp_python_4,query_chain,L2H14->MLP11,corrupt_full,tool,0.10967741935483871,-0.03870967741935484,0.14838709677419354
mbpp_python_4,query_chain,MLP11->MLP16,corrupt_full,tool,-0.4838709677419355,-0.2903225806451613,-0.1935483870967742
mbpp_python_4,query_chain,MLP16->L24H6,corrupt_full,tool,0.4258064516129032,0.27419354838709675,0.15161290322580645
mbpp_python_4,schema_chain,L21H12->MLP27,clean_no_schema,tool,0.04248991935483871,0.03870967741935484,0.0037802419354838676
mbpp_python_4,schema_chain,L21H12->MLP27,clean_schema_mismatch,tool,1.010282258064516,0.7112903225806452,0.29899193548387093
mbpp_python_4,schema_chain,L21H12->MLP27,clean_no_protocol,tool,1.7161290322580645,1.070967741935484,0.6451612903225805
mbpp_python_4,no_tool_chain,L16H4->MLP17,clean_full,no_tool,0.06538461538461539,0.06153846153846154,0.0038461538461538464
mbpp_python_4,no_tool_chain,MLP17->L23H6,clean_full,no_tool,0.24615384615384617,0.05384615384615385,0.19230769230769232
apps_python_5,query_chain,L2H14->MLP11,corrupt_full,tool,0.21637426900584794,0.1871345029239766,0.029239766081871343
apps_python_5,query_chain,MLP11->MLP16,corrupt_full,tool,0.27485380116959063,-0.09941520467836257,0.3742690058479532
apps_python_5,query_chain,MLP16->L24H6,corrupt_full,tool,0.5964912280701754,0.391812865497076,0.2046783625730994
apps_python_5,schema_chain,L21H12->MLP27,clean_no_schema,tool,0.2050438596491228,0.11988304093567251,0.0851608187134503
apps_python_5,schema_chain,L21H12->MLP27,clean_schema_mismatch,tool,0.3033625730994152,0.17690058479532164,0.12646198830409358
apps_python_5,schema_chain,L21H12->MLP27,clean_no_protocol,tool,1.409356725146199,0.7602339181286549,0.649122807017544
apps_python_5,no_tool_chain,L16H4->MLP17,clean_full,no_tool,0.18857142857142858,0.12571428571428572,0.06285714285714286
apps_python_5,no_tool_chain,MLP17->L23H6,clean_full,no_tool,0.7471428571428571,0.6642857142857143,0.08285714285714285
codecontests_cpp_5,query_chain,L2H14->MLP11,corrupt_full,tool,-0.02702702702702703,0.0,-0.02702702702702703
codecontests_cpp_5,query_chain,MLP11->MLP16,corrupt_full,tool,0.40878378378378377,0.060810810810810814,0.34797297297297297
codecontests_cpp_5,query_chain,MLP16->L24H6,corrupt_full,tool,0.5574324324324325,0.38513513513513514,0.1722972972972973
codecontests_cpp_5,schema_chain,L21H12->MLP27,clean_no_schema,tool,0.9121621621621622,0.46959459459459457,0.4425675675675676
codecontests_cpp_5,schema_chain,L21H12->MLP27,clean_schema_mismatch,tool,0.9138513513513513,0.47635135135135137,0.43749999999999994
codecontests_cpp_5,schema_chain,L21H12->MLP27,clean_no_protocol,tool,1.864864864864865,1.0810810810810811,0.7837837837837838
codecontests_cpp_5,no_tool_chain,L16H4->MLP17,clean_full,no_tool,0.20600858369098712,0.1630901287553648,0.042918454935622324
codecontests_cpp_5,no_tool_chain,MLP17->L23H6,clean_full,no_tool,0.34334763948497854,0.2575107296137339,0.08583690987124465
codecontests_java_5,query_chain,L2H14->MLP11,corrupt_full,tool,0.16015625,0.09765625,0.0625
codecontests_java_5,query_chain,MLP11->MLP16,corrupt_full,tool,0.8388671875,0.48046875,0.3583984375
codecontests_java_5,query_chain,MLP16->L24H6,corrupt_full,tool,0.3671875,0.2421875,0.125
codecontests_java_5,schema_chain,L21H12->MLP27,clean_no_schema,tool,0.78125,0.42578125,0.35546875
codecontests_java_5,schema_chain,L21H12->MLP27,clean_schema_mismatch,tool,0.2510986328125,0.17431640625,0.0767822265625
codecontests_java_5,schema_chain,L21H12->MLP27,clean_no_protocol,tool,1.44140625,0.8359375,0.60546875
codecontests_java_5,no_tool_chain,L16H4->MLP17,clean_full,no_tool,0.3374485596707819,0.24691358024691357,0.09053497942386834
codecontests_java_5,no_tool_chain,MLP17->L23H6,clean_full,no_tool,0.3991769547325103,0.3786008230452675,0.020576131687242816
codecontests_cpp_6,query_chain,L2H14->MLP11,corrupt_full,tool,-0.648936170212766,-0.3191489361702128,-0.32978723404255317
codecontests_cpp_6,query_chain,MLP11->MLP16,corrupt_full,tool,-0.44680851063829785,-0.5851063829787234,0.13829787234042556
codecontests_cpp_6,query_chain,MLP16->L24H6,corrupt_full,tool,0.6542553191489362,0.43617021276595747,0.21808510638297873
codecontests_cpp_6,schema_chain,L21H12->MLP27,clean_no_schema,tool,0.5711436170212766,0.34574468085106386,0.22539893617021273
codecontests_cpp_6,schema_chain,L21H12->MLP27,clean_schema_mismatch,tool,1.9388297872340425,1.0265957446808511,0.9122340425531914
codecontests_cpp_6,schema_chain,L21H12->MLP27,clean_no_protocol,tool,3.1914893617021276,1.6808510638297873,1.5106382978723403
codecontests_cpp_6,no_tool_chain,L16H4->MLP17,clean_full,no_tool,0.16055045871559634,-0.0045871559633027525,0.1651376146788991
codecontests_cpp_6,no_tool_chain,MLP17->L23H6,clean_full,no_tool,0.5619266055045872,0.48394495412844035,0.07798165137614682
codecontests_java_6,query_chain,L2H14->MLP11,corrupt_full,tool,0.012987012987012988,0.05194805194805195,-0.03896103896103896
codecontests_java_6,query_chain,MLP11->MLP16,corrupt_full,tool,0.4318181818181818,0.21428571428571427,0.21753246753246755
codecontests_java_6,query_chain,MLP16->L24H6,corrupt_full,tool,0.19805194805194806,0.12337662337662338,0.07467532467532469
codecontests_java_6,schema_chain,L21H12->MLP27,clean_no_schema,tool,0.48538961038961037,0.24675324675324675,0.23863636363636362
codecontests_java_6,schema_chain,L21H12->MLP27,clean_schema_mismatch,tool,0.8262987012987013,0.42857142857142855,0.39772727272727276
codecontests_java_6,schema_chain,L21H12->MLP27,clean_no_protocol,tool,1.1363636363636365,0.6558441558441559,0.48051948051948057
codecontests_java_6,no_tool_chain,L16H4->MLP17,clean_full,no_tool,0.6134259259259259,0.39351851851851855,0.21990740740740738
codecontests_java_6,no_tool_chain,MLP17->L23H6,clean_full,no_tool,0.4027777777777778,0.3425925925925926,0.060185185185185175
codecontests_java_7,query_chain,L2H14->MLP11,corrupt_full,tool,0.14705882352941177,0.1323529411764706,0.01470588235294118
codecontests_java_7,query_chain,MLP11->MLP16,corrupt_full,tool,0.47794117647058826,0.22058823529411764,0.2573529411764706
codecontests_java_7,query_chain,MLP16->L24H6,corrupt_full,tool,0.6985294117647058,0.4730392156862745,0.22549019607843135
codecontests_java_7,schema_chain,L21H12->MLP27,clean_no_schema,tool,0.7212009803921569,0.42401960784313725,0.2971813725490196
codecontests_java_7,schema_chain,L21H12->MLP27,clean_schema_mismatch,tool,1.3970588235294117,0.7696078431372549,0.6274509803921567
codecontests_java_7,schema_chain,L21H12->MLP27,clean_no_protocol,tool,1.3529411764705883,0.803921568627451,0.5490196078431373
codecontests_java_7,no_tool_chain,L16H4->MLP17,clean_full,no_tool,0.12598425196850394,0.10236220472440945,0.023622047244094488
codecontests_java_7,no_tool_chain,MLP17->L23H6,clean_full,no_tool,0.4409448818897638,0.38976377952755903,0.051181102362204745
apps_python_8,query_chain,L2H14->MLP11,corrupt_full,tool,0.11004784688995216,0.11004784688995216,0.0
apps_python_8,query_chain,MLP11->MLP16,corrupt_full,tool,0.11004784688995216,0.03827751196172249,0.07177033492822968
apps_python_8,query_chain,MLP16->L24H6,corrupt_full,tool,0.3684210526315789,0.2679425837320574,0.1004784688995215
apps_python_8,schema_chain,L21H12->MLP27,clean_no_schema,tool,0.02454022129186603,0.020073265550239236,0.004466955741626793
apps_python_8,schema_chain,L21H12->MLP27,clean_schema_mismatch,tool,1.9162679425837321,1.0574162679425838,0.8588516746411483
apps_python_8,schema_chain,L21H12->MLP27,clean_no_protocol,tool,2.9473684210526314,1.7607655502392345,1.1866028708133969
apps_python_8,no_tool_chain,L16H4->MLP17,clean_full,no_tool,0.30569948186528495,0.16062176165803108,0.14507772020725387
apps_python_8,no_tool_chain,MLP17->L23H6,clean_full,no_tool,0.5414507772020726,0.4481865284974093,0.09326424870466327
apps_python_9,query_chain,L2H14->MLP11,corrupt_full,tool,-0.33649289099526064,-0.10900473933649289,-0.22748815165876773
apps_python_9,query_chain,MLP11->MLP16,corrupt_full,tool,0.14218009478672985,-0.26066350710900477,0.40284360189573465
apps_python_9,query_chain,MLP16->L24H6,corrupt_full,tool,0.5947867298578199,0.4052132701421801,0.18957345971563977
apps_python_9,schema_chain,L21H12->MLP27,clean_no_schema,tool,0.026917950236966824,0.02214158767772512,0.004776362559241704
apps_python_9,schema_chain,L21H12->MLP27,clean_schema_mismatch,tool,0.8080568720379147,0.4218009478672986,0.38625592417061605
apps_python_9,schema_chain,L21H12->MLP27,clean_no_protocol,tool,1.981042654028436,1.0236966824644549,0.9573459715639812
apps_python_9,no_tool_chain,L16H4->MLP17,clean_full,no_tool,0.19689119170984457,0.15544041450777202,0.04145077720207255
apps_python_9,no_tool_chain,MLP17->L23H6,clean_full,no_tool,0.422279792746114,0.39378238341968913,0.02849740932642486
