sample_id,component,variant,set,mass
codecontests_cpp_1,L21H12,clean_full,tool_call_tags,0.014532468281686306
codecontests_cpp_1,L21H12,clean_full,protocol_payload,nan
codecontests_cpp_1,L21H12,clean_full,prefix_16,0.044273074716329575
codecontests_cpp_1,L16H4,clean_full,user_block,0.32364580035209656
codecontests_cpp_1,L16H4,clean_full,tools_block,0.019550757482647896
codecontests_cpp_1,L16H4,clean_full,tools_payload,5.829720066685695e-07
codecontests_cpp_1,L16H4,clean_full,tool_call_tags,4.492564039537683e-05
codecontests_cpp_1,L16H4,clean_full,protocol_payload,nan
codecontests_cpp_1,L16H4,clean_full,prefix_16,0.08849930018186569
codecontests_cpp_1,L23H6,clean_full,user_block,0.03706696629524231
codecontests_cpp_1,L23H6,clean_full,tools_block,0.01444957684725523
codecontests_cpp_1,L23H6,clean_full,tools_payload,6.831812061136588e-05
codecontests_cpp_1,L23H6,clean_full,tool_call_tags,0.0039459094405174255
codecontests_cpp_1,L23H6,clean_full,protocol_payload,nan
codecontests_cpp_1,L23H6,clean_full,prefix_16,0.3885596990585327
codecontests_cpp_1,L24H6,clean_full,user_block,0.006923367734998465
codecontests_cpp_1,L24H6,clean_full,tools_block,0.007817192934453487
codecontests_cpp_1,L24H6,clean_full,tools_payload,2.256816515000537e-05
codecontests_cpp_1,L24H6,clean_full,tool_call_tags,0.9599515199661255
codecontests_cpp_1,L24H6,clean_full,protocol_payload,nan
codecontests_cpp_1,L24H6,clean_full,prefix_16,0.015423417091369629
codecontests_cpp_1,L2H14,corrupt_full,user_block,0.3713788390159607
codecontests_cpp_1,L2H14,corrupt_full,tools_block,0.1256633996963501
codecontests_cpp_1,L2H14,corrupt_full,tools_payload,0.0008430972811765969
codecontests_cpp_1,L2H14,corrupt_full,tool_call_tags,0.0029660253785550594
codecontests_cpp_1,L2H14,corrupt_full,protocol_payload,nan
codecontests_cpp_1,L2H14,corrupt_full,prefix_16,0.12379360944032669
codecontests_cpp_1,L21H12,corrupt_full,user_block,0.1011216938495636
codecontests_cpp_1,L21H12,corrupt_full,tools_block,0.3469512462615967
codecontests_cpp_1,L21H12,corrupt_full,tools_payload,0.03957826644182205
codecontests_cpp_1,L21H12,corrupt_full,tool_call_tags,0.011134736239910126
codecontests_cpp_1,L21H12,corrupt_full,protocol_payload,nan
codecontests_cpp_1,L21H12,corrupt_full,prefix_16,0.15988869965076447
codecontests_cpp_1,L16H4,corrupt_full,user_block,0.4250272512435913
codecontests_cpp_1,L16H4,corrupt_full,tools_block,0.019767621532082558
codecontests_cpp_1,L16H4,corrupt_full,tools_payload,8.121770633806591e-07
codecontests_cpp_1,L16H4,corrupt_full,tool_call_tags,6.744966958649457e-05
codecontests_cpp_1,L16H4,corrupt_full,protocol_payload,nan
codecontests_cpp_1,L16H4,corrupt_full,prefix_16,0.09115394204854965
codecontests_cpp_1,L23H6,corrupt_full,user_block,0.04446662962436676
codecontests_cpp_1,L23H6,corrupt_full,tools_block,0.019268499687314034
codecontests_cpp_1,L23H6,corrupt_full,tools_payload,4.844734939979389e-05
codecontests_cpp_1,L23H6,corrupt_full,tool_call_tags,0.004160236567258835
codecontests_cpp_1,L23H6,corrupt_full,protocol_payload,nan
codecontests_cpp_1,L23H6,corrupt_full,prefix_16,0.39650189876556396
codecontests_cpp_1,L24H6,corrupt_full,user_block,0.042489491403102875
codecontests_cpp_1,L24H6,corrupt_full,tools_block,0.04361408203840256
codecontests_cpp_1,L24H6,corrupt_full,tools_payload,0.000518094573635608
codecontests_cpp_1,L24H6,corrupt_full,tool_call_tags,0.6033915877342224
codecontests_cpp_1,L24H6,corrupt_full,protocol_payload,nan
codecontests_cpp_1,L24H6,corrupt_full,prefix_16,0.26773151755332947
codecontests_cpp_1,L2H14,clean_no_schema,user_block,0.46628299355506897
codecontests_cpp_1,L2H14,clean_no_schema,tools_block,0.03462665528059006
codecontests_cpp_1,L2H14,clean_no_schema,tools_payload,0.0010912371799349785
codecontests_cpp_1,L2H14,clean_no_schema,tool_call_tags,0.0031822347082197666
codecontests_cpp_1,L2H14,clean_no_schema,protocol_payload,nan
codecontests_cpp_1,L2H14,clean_no_schema,prefix_16,0.13006728887557983
codecontests_cpp_1,L21H12,clean_no_schema,user_block,0.07654128968715668
codecontests_cpp_1,L21H12,clean_no_schema,tools_block,0.25286075472831726
codecontests_cpp_1,L21H12,clean_no_schema,tools_payload,0.022863047197461128
codecontests_cpp_1,L21H12,clean_no_schema,tool_call_tags,0.00826670415699482
codecontests_cpp_1,L21H12,clean_no_schema,protocol_payload,nan
codecontests_cpp_1,L21H12,clean_no_schema,prefix_16,0.1766376942396164
codecontests_cpp_1,L16H4,clean_no_schema,user_block,0.3281840682029724
codecontests_cpp_1,L16H4,clean_no_schema,tools_block,0.005762012675404549
codecontests_cpp_1,L16H4,clean_no_schema,tools_payload,1.5201272844933555e-06
codecontests_cpp_1,L16H4,clean_no_schema,tool_call_tags,5.0285896577406675e-05
codecontests_cpp_1,L16H4,clean_no_schema,protocol_payload,nan
codecontests_cpp_1,L16H4,clean_no_schema,prefix_16,0.07362940162420273
codecontests_cpp_1,L23H6,clean_no_schema,user_block,0.06703338772058487
codecontests_cpp_1,L23H6,clean_no_schema,tools_block,0.010252081789076328
codecontests_cpp_1,L23H6,clean_no_schema,tools_payload,4.11692017223686e-05
codecontests_cpp_1,L23H6,clean_no_schema,tool_call_tags,0.0031034962739795446
codecontests_cpp_1,L23H6,clean_no_schema,protocol_payload,nan
codecontests_cpp_1,L23H6,clean_no_schema,prefix_16,0.4099246561527252
codecontests_cpp_1,L24H6,clean_no_schema,user_block,0.05450388044118881
codecontests_cpp_1,L24H6,clean_no_schema,tools_block,0.011429395526647568
codecontests_cpp_1,L24H6,clean_no_schema,tools_payload,0.0006588614778593183
codecontests_cpp_1,L24H6,clean_no_schema,tool_call_tags,0.5971729159355164
codecontests_cpp_1,L24H6,clean_no_schema,protocol_payload,nan
codecontests_cpp_1,L24H6,clean_no_schema,prefix_16,0.290311336517334
codecontests_cpp_1,L2H14,clean_schema_mismatch,user_block,0.43814167380332947
codecontests_cpp_1,L2H14,clean_schema_mismatch,tools_block,0.11934871971607208
codecontests_cpp_1,L2H14,clean_schema_mismatch,tools_payload,0.0009309535380452871
codecontests_cpp_1,L2H14,clean_schema_mismatch,tool_call_tags,0.002739744260907173
codecontests_cpp_1,L2H14,clean_schema_mismatch,protocol_payload,nan
codecontests_cpp_1,L2H14,clean_schema_mismatch,prefix_16,0.11368778347969055
codecontests_cpp_1,L21H12,clean_schema_mismatch,user_block,0.15137848258018494
codecontests_cpp_1,L21H12,clean_schema_mismatch,tools_block,0.41918402910232544
codecontests_cpp_1,L21H12,clean_schema_mismatch,tools_payload,0.04938754439353943
codecontests_cpp_1,L21H12,clean_schema_mismatch,tool_call_tags,0.013643542304635048
codecontests_cpp_1,L21H12,clean_schema_mismatch,protocol_payload,nan
codecontests_cpp_1,L21H12,clean_schema_mismatch,prefix_16,0.15109331905841827
codecontests_cpp_1,L16H4,clean_schema_mismatch,user_block,0.3863438367843628
codecontests_cpp_1,L16H4,clean_schema_mismatch,tools_block,0.018644578754901886
codecontests_cpp_1,L16H4,clean_schema_mismatch,tools_payload,3.0041223908483516e-07
codecontests_cpp_1,L16H4,clean_schema_mismatch,tool_call_tags,4.365169661468826e-05
codecontests_cpp_1,L16H4,clean_schema_mismatch,protocol_payload,nan
codecontests_cpp_1,L16H4,clean_schema_mismatch,prefix_16,0.0986902117729187
codecontests_cpp_1,L23H6,clean_schema_mismatch,user_block,0.05461033433675766
codecontests_cpp_1,L23H6,clean_schema_mismatch,tools_block,0.021545693278312683
codecontests_cpp_1,L23H6,clean_schema_mismatch,tools_payload,4.336016718298197e-05
codecontests_cpp_1,L23H6,clean_schema_mismatch,tool_call_tags,0.0046209245920181274
codecontests_cpp_1,L23H6,clean_schema_mismatch,protocol_payload,nan
codecontests_cpp_1,L23H6,clean_schema_mismatch,prefix_16,0.36312878131866455
codecontests_cpp_1,L24H6,clean_schema_mismatch,user_block,0.06784745305776596
codecontests_cpp_1,L24H6,clean_schema_mismatch,tools_block,0.04924224317073822
codecontests_cpp_1,L24H6,clean_schema_mismatch,tools_payload,0.0010067903203889728
