sample_id,head,family,component,rescue_ratio,decision_score,top1_success
codecontests_cpp_6,L21H1,tool,k,0.047872340425531915,-2.7990264892578125,False
codecontests_cpp_6,L21H1,tool,v,0.0425531914893617,-2.8136444091796875,False
codecontests_cpp_6,L21H1,tool,z,0.699468085106383,-0.583984375,False
codecontests_cpp_6,L21H12,tool,q,0.8178191489361702,0.03125,True
codecontests_cpp_6,L21H12,tool,k,0.005319148936170213,-2.9225425720214844,False
codecontests_cpp_6,L21H12,tool,v,0.0,-2.9378490447998047,False
codecontests_cpp_6,L21H12,tool,z,0.8164893617021277,0.01953125,True
codecontests_cpp_6,L24H6,tool,q,0.6382978723404256,-0.83984375,False
codecontests_cpp_6,L24H6,tool,k,0.0,-2.9377269744873047,False
codecontests_cpp_6,L24H6,tool,v,-0.031914893617021274,-3.0308189392089844,False
codecontests_cpp_6,L24H6,tool,z,0.6329787234042553,-0.861328125,False
codecontests_cpp_6,L16H4,no_tool,q,-0.03669724770642202,-3.5309696197509766,False
codecontests_cpp_6,L16H4,no_tool,k,0.0045871559633027525,-3.3905677795410156,False
codecontests_cpp_6,L16H4,no_tool,v,0.06880733944954129,-3.1710739135742188,False
