sample_id,head,family,span,rescue_ratio,decision_score,top1_success
codecontests_java_3,L21H12,tool,task_body,-0.04054054054054054,-9.623870849609375,False
codecontests_java_3,L24H6,tool,lead_phrase,-0.006756756756756757,-9.311447143554688,False
codecontests_java_3,L24H6,tool,function_body_anchor,-0.013513513513513514,-9.373069763183594,False
codecontests_java_3,L24H6,tool,file_target,-0.013513513513513514,-9.37484359741211,False
codecontests_java_3,L24H6,tool,tail_suffix,-0.006756756756756757,-9.312103271484375,False
codecontests_java_3,L24H6,tool,task_body,-0.006756756756756757,-9.311477661132812,False
codecontests_java_3,L16H4,no_tool,lead_phrase,-0.01904761904761905,-6.68749064207077,False
codecontests_java_3,L16H4,no_tool,function_body_anchor,0.0,-6.562503933906555,False
codecontests_java_3,L16H4,no_tool,file_target,-0.0380952380952381,-6.812454700469971,False
codecontests_java_3,L16H4,no_tool,tail_suffix,0.01904761904761905,-6.437492668628693,False
codecontests_java_3,L16H4,no_tool,task_body,0.0,-6.56250673532486,False
codecontests_java_3,L23H6,no_tool,lead_phrase,0.0,-6.562504023313522,False
codecontests_java_3,L23H6,no_tool,function_body_anchor,0.0,-6.5624991320073605,False
codecontests_java_3,L23H6,no_tool,file_target,0.014285714285714285,-6.4687495194375515,False
codecontests_java_3,L23H6,no_tool,tail_suffix,0.0,-6.562499945051968,False
codecontests_java_3,L23H6,no_tool,task_body,0.0,-6.562501966953278,False
apps_python_4,L20H5,tool,lead_phrase,-0.08270676691729323,-4.497802734375,False
apps_python_4,L20H5,tool,function_body_anchor,0.03007518796992481,-4.030727386474609,False
apps_python_4,L20H5,tool,file_target,0.06766917293233082,-3.8727569580078125,False
apps_python_4,L20H5,tool,tail_suffix,-0.08270676691729323,-4.4983367919921875,False
apps_python_4,L20H5,tool,task_body,-0.11278195488721804,-4.62152099609375,False
apps_python_4,L21H1,tool,lead_phrase,-0.05263157894736842,-4.372222900390625,False
apps_python_4,L21H1,tool,function_body_anchor,-0.11278195488721804,-4.62371826171875,False
apps_python_4,L21H1,tool,file_target,-0.11278195488721804,-4.6221466064453125,False
apps_python_4,L21H1,tool,tail_suffix,-0.06015037593984962,-4.404579162597656,False
apps_python_4,L21H1,tool,task_body,-0.08270676691729323,-4.4974517822265625,False
apps_python_4,L21H12,tool,lead_phrase,-0.06015037593984962,-4.404693603515625,False
apps_python_4,L21H12,tool,function_body_anchor,-0.12030075187969924,-4.6538543701171875,False
