sample_id,base_variant,alpha,tool_score,no_tool_score,decision_score,tool_top1,boundary_flip
codecontests_cpp_4,corrupt_full,0.75,-2.015625,-0.059814453125,-1.955810546875,False,False
codecontests_cpp_4,corrupt_full,1.0,-1.3671875,-0.126953125,-1.240234375,False,False
codecontests_cpp_4,corrupt_full,1.25,-0.80859375,-0.2734375,-0.53515625,False,False
codecontests_cpp_4,corrupt_full,1.5,-0.41015625,-0.50390625,0.09375,False,True
codecontests_cpp_4,clean_no_schema,0.0,-2.015625,-0.1708984375,-1.8447265625,False,False
codecontests_cpp_4,clean_no_schema,0.25,-1.5546875,-0.2099609375,-1.3447265625,False,False
codecontests_cpp_4,clean_no_schema,0.5,-1.203125,-0.26171875,-0.94140625,False,False
codecontests_cpp_4,clean_no_schema,0.75,-0.8359375,-0.369140625,-0.466796875,False,False
codecontests_cpp_4,clean_no_schema,1.0,-0.55078125,-0.5,-0.05078125,False,False
codecontests_cpp_4,clean_no_schema,1.25,-0.310546875,-0.7421875,0.431640625,True,True
codecontests_cpp_4,clean_no_schema,1.5,-0.1806640625,-0.92578125,0.7451171875,True,True
codecontests_cpp_4,clean_schema_mismatch,0.0,-6.375,-0.1396484375,-6.2353515625,False,False
codecontests_cpp_4,clean_schema_mismatch,0.25,-4.96875,-0.125,-4.84375,False,False
codecontests_cpp_4,clean_schema_mismatch,0.5,-3.671875,-0.11474609375,-3.55712890625,False,False
codecontests_cpp_4,clean_schema_mismatch,0.75,-2.375,-0.12060546875,-2.25439453125,False,False
codecontests_cpp_4,clean_schema_mismatch,1.0,-1.375,-0.189453125,-1.185546875,False,False
codecontests_cpp_4,clean_schema_mismatch,1.25,-0.50390625,-0.48828125,-0.015625,False,False
codecontests_cpp_4,clean_schema_mismatch,1.5,-0.10009765625,-1.0859375,0.98583984375,True,True
codecontests_cpp_4,clean_no_protocol,0.0,-6.84375,-0.294921875,-6.548828125,False,False
codecontests_cpp_4,clean_no_protocol,0.25,-5.125,-0.2470703125,-4.8779296875,False,False
codecontests_cpp_4,clean_no_protocol,0.5,-3.625,-0.216796875,-3.408203125,False,False
codecontests_cpp_4,clean_no_protocol,0.75,-2.125,-0.2412109375,-1.8837890625,False,False
codecontests_cpp_4,clean_no_protocol,1.0,-1.015625,-0.41015625,-0.60546875,False,False
codecontests_cpp_4,clean_no_protocol,1.25,-0.28125,-0.93359375,0.65234375,True,True
codecontests_cpp_4,clean_no_protocol,1.5,-0.06689453125,-1.875,1.80810546875,True,True
codecontests_java_4,corrupt_full,0.0,-11.3125,0.0,-11.3125,False,False
codecontests_java_4,corrupt_full,0.25,-8.5625,-0.0032501220703125,-8.559249877929688,False,False
codecontests_java_4,corrupt_full,0.5,-5.84375,-0.0201416015625,-5.8236083984375,False,False
codecontests_java_4,corrupt_full,0.75,-3.3125,-0.0810546875,-3.2314453125,False,False
codecontests_java_4,corrupt_full,1.0,-1.4140625,-0.37890625,-1.03515625,False,False
codecontests_java_4,corrupt_full,1.25,-0.423828125,-1.2265625,0.802734375,True,True
codecontests_java_4,corrupt_full,1.5,-0.09619140625,-2.59375,2.49755859375,True,True
codecontests_java_4,clean_no_schema,0.0,-5.78125,-0.3828125,-5.3984375,False,False
codecontests_java_4,clean_no_schema,0.25,-4.0,-0.455078125,-3.544921875,False,False
codecontests_java_4,clean_no_schema,0.5,-2.515625,-0.62890625,-1.88671875,False,False
codecontests_java_4,clean_no_schema,0.75,-1.328125,-0.91015625,-0.41796875,False,False
codecontests_java_4,clean_no_schema,1.0,-0.5234375,-1.5546875,1.03125,True,True
codecontests_java_4,clean_no_schema,1.25,-0.2109375,-2.4375,2.2265625,True,True
codecontests_java_4,clean_no_schema,1.5,-0.07177734375,-3.40625,3.33447265625,True,True
codecontests_java_4,clean_schema_mismatch,0.0,-0.69140625,-0.79296875,0.1015625,True,True
codecontests_java_4,clean_schema_mismatch,0.25,-0.330078125,-1.3828125,1.052734375,True,True
codecontests_java_4,clean_schema_mismatch,0.5,-0.158203125,-2.03125,1.873046875,True,True
codecontests_java_4,clean_schema_mismatch,0.75,-0.06640625,-2.859375,2.79296875,True,True
codecontests_java_4,clean_schema_mismatch,1.0,-0.027587890625,-3.625,3.597412109375,True,True
codecontests_java_4,clean_schema_mismatch,1.25,-0.01446533203125,-4.1875,4.17303466796875,True,True
codecontests_java_4,clean_schema_mismatch,1.5,-0.006072998046875,-4.875,4.868927001953125,True,True
codecontests_java_4,clean_no_protocol,0.0,-12.6875,-1.5625,-11.125,False,False
codecontests_java_4,clean_no_protocol,0.25,-9.8125,-1.640625,-8.171875,False,False
codecontests_java_4,clean_no_protocol,0.5,-6.84375,-1.6171875,-5.2265625,False,False
codecontests_java_4,clean_no_protocol,0.75,-4.03125,-1.5390625,-2.4921875,False,False
codecontests_java_4,clean_no_protocol,1.0,-1.765625,-1.6328125,-0.1328125,False,False
codecontests_java_4,clean_no_protocol,1.25,-0.53125,-2.34375,1.8125,True,True
codecontests_java_4,clean_no_protocol,1.5,-0.11669921875,-3.5625,3.44580078125,True,True
mbpp_python_4,corrupt_full,0.0,-4.84375,0.0,-4.84375,False,False
mbpp_python_4,corrupt_full,0.25,-3.875,-0.01385498046875,-3.86114501953125,False,False
mbpp_python_4,corrupt_full,0.5,-3.0625,-0.049560546875,-3.012939453125,False,False
mbpp_python_4,corrupt_full,0.75,-2.140625,-0.119140625,-2.021484375,False,False
mbpp_python_4,corrupt_full,1.0,-1.4921875,-0.2216796875,-1.2705078125,False,False
mbpp_python_4,corrupt_full,1.25,-1.0078125,-0.384765625,-0.623046875,False,False
mbpp_python_4,corrupt_full,1.5,-0.55078125,-0.67578125,0.125,False,True
mbpp_python_4,clean_no_schema,0.0,-0.236328125,-0.953125,0.716796875,True,True
mbpp_python_4,clean_no_schema,0.25,-0.267578125,-0.8984375,0.630859375,True,True
mbpp_python_4,clean_no_schema,0.5,-0.3984375,-0.73828125,0.33984375,False,True
mbpp_python_4,clean_no_schema,0.75,-0.5078125,-0.65625,0.1484375,False,True
mbpp_python_4,clean_no_schema,1.0,-0.51953125,-0.66796875,0.1484375,False,True
mbpp_python_4,clean_no_schema,1.25,-0.64453125,-0.59765625,-0.046875,False,False
mbpp_python_4,clean_no_schema,1.5,-0.7890625,-0.546875,-0.2421875,False,False
mbpp_python_4,clean_schema_mismatch,0.0,-5.09375,-0.5390625,-4.5546875,False,False
mbpp_python_4,clean_schema_mismatch,0.25,-3.765625,-0.423828125,-3.341796875,False,False
