sample_id,path_key,base_variant,source_variant,direction,ratio,top1,boundary_flip
codecontests_java_12,query_tool_path,corrupt_full,clean_full,tool,0.8378378378378378,False,False
codecontests_java_12,schema_tool_path,clean_no_schema,clean_full,tool,0.7957928631756757,True,True
codecontests_java_12,schema_tool_path,clean_schema_mismatch,clean_full,tool,1.4040065456081081,True,True
codecontests_java_12,schema_tool_path,clean_no_protocol,clean_full,tool,0.9834512246621622,True,True
codecontests_java_12,no_tool_path,clean_full,corrupt_full,no_tool,0.7411616161616161,False,False
apps_python_13,query_tool_path,corrupt_full,clean_full,tool,0.8385416666666666,False,False
apps_python_13,schema_tool_path,clean_no_schema,clean_full,tool,0.3859375,True,True
apps_python_13,schema_tool_path,clean_schema_mismatch,clean_full,tool,1.0578125,True,True
apps_python_13,schema_tool_path,clean_no_protocol,clean_full,tool,2.1510416666666665,False,True
apps_python_13,no_tool_path,clean_full,corrupt_full,no_tool,0.8138766519823789,True,False
codecontests_java_13,query_tool_path,corrupt_full,clean_full,tool,0.961577868852459,True,True
codecontests_java_13,schema_tool_path,clean_no_schema,clean_full,tool,0.632172131147541,True,True
codecontests_java_13,schema_tool_path,clean_schema_mismatch,clean_full,tool,0.42674180327868855,True,True
codecontests_java_13,schema_tool_path,clean_no_protocol,clean_full,tool,2.4149590163934427,True,True
codecontests_java_13,no_tool_path,clean_full,corrupt_full,no_tool,0.6266233766233766,False,False
apps_python_14,query_tool_path,corrupt_full,clean_full,tool,0.5398550724637681,False,False
apps_python_14,schema_tool_path,clean_no_schema,clean_full,tool,0.08831521739130435,True,True
apps_python_14,schema_tool_path,clean_schema_mismatch,clean_full,tool,1.4173460144927537,True,True
apps_python_14,schema_tool_path,clean_no_protocol,clean_full,tool,2.3768115942028984,False,False
apps_python_14,no_tool_path,clean_full,corrupt_full,no_tool,0.5789473684210527,False,False
codecontests_cpp_14,query_tool_path,corrupt_full,clean_full,tool,0.8627717391304348,True,False
codecontests_cpp_14,schema_tool_path,clean_no_schema,clean_full,tool,0.80078125,True,True
codecontests_cpp_14,schema_tool_path,clean_schema_mismatch,clean_full,tool,0.13991380774456522,True,True
codecontests_cpp_14,schema_tool_path,clean_no_protocol,clean_full,tool,2.385869565217391,True,True
codecontests_cpp_14,no_tool_path,clean_full,corrupt_full,no_tool,0.8760729613733905,False,True
codecontests_java_14,query_tool_path,corrupt_full,clean_full,tool,0.9293269230769231,True,True
