source,target,support_weighted,support_unweighted
MLP4,L16H4,0.019230259812470958,0.02
MLP4,L13H9,0.019230259812470958,0.02
MLP11,L15H9,0.01922492182569836,0.02
MLP5,L13H6,0.019135789955696435,0.02
MLP5,MLP7,0.019135789955696435,0.02
MLP7,L13H6,0.019135789955696435,0.02
MLP5,L13H9,0.019135789955696435,0.02
MLP7,L16H4,0.019135789955696435,0.02
MLP7,L13H9,0.019135789955696435,0.02
L11H1,L13H9,0.01884830569708434,0.02
MLP0,MLP13,0.01884830569708434,0.02
MLP0,L11H1,0.01884830569708434,0.02
L11H1,MLP13,0.01884830569708434,0.02
MLP13,L17H12,0.01884830569708434,0.02
MLP0,L13H9,0.01884830569708434,0.02
L16H4,MLP21,0.01884269472336049,0.02
Input Embed,L13H6,0.01884269472336049,0.02
L6H0,L13H9,0.01884269472336049,0.02
L16H4,MLP20,0.01884269472336049,0.02
L17H8,MLP21,0.01884269472336049,0.02
L21H1,L23H6,0.01884269472336049,0.02
L6H0,L13H6,0.01884269472336049,0.02
L2H15,MLP3,0.018817296521963938,0.02
MLP20,L23H6,0.018817296521963938,0.02
L16H8,MLP20,0.018817296521963938,0.02
L2H15,MLP9,0.018817296521963938,0.02
MLP6,L12H6,0.01872691149154931,0.02
MLP6,L13H9,0.01872691149154931,0.02
MLP6,MLP13,0.01872691149154931,0.02
MLP13,L16H9,0.0187184283052943,0.02
MLP13,L16H6,0.0187184283052943,0.02
L2H15,MLP5,0.01762854261617334,0.02
L4H15,L12H6,0.01762854261617334,0.02
L4H15,MLP5,0.01762854261617334,0.02
L2H15,L4H15,0.01762854261617334,0.02
L4H15,MLP12,0.01762854261617334,0.02
MLP18,L20H5,0.01762854261617334,0.02
MLP5,L10H2,0.017412437051275424,0.02
L2H14,MLP5,0.017412437051275424,0.02
L13H11,MLP17,0.017114550435875144,0.02
MLP2,L10H2,0.017114550435875144,0.02
L2H14,L4H15,0.017114550435875144,0.02
MLP12,L13H11,0.017114550435875144,0.02
L12H6,L13H11,0.017114550435875144,0.02
MLP12,L18H14,0.017114550435875144,0.02
MLP2,L4H15,0.017114550435875144,0.02
L4H15,MLP17,0.017114550435875144,0.02
MLP9,L16H13,0.01694210683206334,0.02
L4H15,MLP9,0.01694210683206334,0.02
MLP12,L16H13,0.01694210683206334,0.02
MLP3,L4H15,0.01694210683206334,0.02
MLP9,L13H3,0.01694210683206334,0.02
L6H0,MLP12,0.01694210683206334,0.02
L4H15,L6H0,0.01694210683206334,0.02
