sample_id,edge,source,target,sign,promote_source_ratio,promote_blocked_ratio,promote_mediated_ratio,suppress_source_ratio,suppress_blocked_ratio,suppress_mediated_ratio
codecontests_cpp_389,L21H12->MLP27,L21H12,MLP27,shared,0.7847682119205298,0.39403973509933776,0.39072847682119205,0.33203125,0.19921875,0.1328125
codecontests_cpp_389,L21H12->L24H6,L21H12,L24H6,tool_bias,0.7847682119205298,0.6307947019867549,0.1539735099337749,0.33203125,0.3359375,-0.00390625
codecontests_cpp_389,MLP19->L21H12,MLP19,L21H12,shared,0.7086092715231788,0.6655629139072847,0.04304635761589404,0.47265625,0.390625,0.08203125
codecontests_cpp_389,MLP19->L21H1,MLP19,L21H1,tool_bias,0.7086092715231788,0.6059602649006622,0.10264900662251653,0.47265625,0.38671875,0.0859375
codecontests_cpp_389,L16H8->MLP17,L16H8,MLP17,no_tool_bias,0.3079470198675497,0.18543046357615894,0.12251655629139074,0.1328125,0.10546875,0.02734375
codecontests_cpp_389,MLP16->MLP17,MLP16,MLP17,no_tool_bias,0.8501655629139073,0.4867549668874172,0.3634105960264901,0.53515625,0.30859375,0.2265625
codecontests_cpp_389,MLP17->MLP19,MLP17,MLP19,no_tool_bias,0.7947019867549668,0.6324503311258278,0.162251655629139,0.541015625,0.3671875,0.173828125
codecontests_cpp_389,MLP17->L21H12,MLP17,L21H12,no_tool_bias,0.7947019867549668,0.6539735099337748,0.14072847682119205,0.541015625,0.4296875,0.111328125
codecontests_cpp_389,MLP17->L24H6,MLP17,L24H6,no_tool_bias,0.7947019867549668,0.6357615894039735,0.1589403973509933,0.541015625,0.5078125,0.033203125
codecontests_cpp_389,MLP17->L23H6,MLP17,L23H6,no_tool_bias,0.7947019867549668,0.7384105960264901,0.056291390728476776,0.541015625,0.46875,0.072265625
codecontests_cpp_389,MLP19->L23H6,MLP19,L23H6,no_tool_bias,0.7086092715231788,0.6456953642384106,0.0629139072847682,0.47265625,0.3828125,0.08984375
codecontests_cpp_389,MLP19->L24H6,MLP19,L24H6,no_tool_bias,0.7086092715231788,0.5562913907284768,0.152317880794702,0.47265625,0.41796875,0.0546875
codecontests_cpp_389,MLP16->L17H8,MLP16,L17H8,no_tool_bias,0.8501655629139073,0.8162251655629139,0.03394039735099341,0.53515625,0.4921875,0.04296875
codecontests_cpp_389,L16H4->MLP17,L16H4,MLP17,no_tool_bias,0.32781456953642385,0.26490066225165565,0.0629139072847682,0.1171875,0.11328125,0.00390625
codecontests_cpp_389,L21H1->MLP27,L21H1,MLP27,shared,0.7268211920529801,0.3675496688741722,0.35927152317880795,0.30078125,0.16015625,0.140625
codecontests_cpp_389,MLP17->L20H5,MLP17,L20H5,no_tool_bias,0.7947019867549668,0.7417218543046358,0.05298013245033106,0.541015625,0.46484375,0.076171875
codecontests_cpp_389,MLP17->L21H1,MLP17,L21H1,shared,0.7947019867549668,0.7019867549668874,0.09271523178807939,0.541015625,0.4375,0.103515625
codecontests_cpp_389,L21H1->L24H6,L21H1,L24H6,tool_bias,0.7268211920529801,0.5132450331125827,0.2135761589403974,0.30078125,0.2734375,0.02734375
codecontests_cpp_389,L20H5->L21H12,L20H5,L21H12,tool_bias,0.30132450331125826,0.2052980132450331,0.09602649006622516,0.1328125,0.1015625,0.03125
codecontests_cpp_389,L20H5->L21H1,L20H5,L21H1,tool_bias,0.30132450331125826,0.25496688741721857,0.046357615894039694,0.1328125,0.078125,0.0546875
codecontests_cpp_389,MLP19->L20H5,MLP19,L20H5,shared,0.7086092715231788,0.6887417218543046,0.019867549668874163,0.47265625,0.390625,0.08203125
codecontests_cpp_389,MLP16->MLP19,MLP16,MLP19,shared,0.8501655629139073,0.7019867549668874,0.14817880794701987,0.53515625,0.37109375,0.1640625
codecontests_cpp_389,L20H5->MLP27,L20H5,MLP27,no_tool_bias,0.30132450331125826,0.15562913907284767,0.1456953642384106,0.1328125,0.08984375,0.04296875
codecontests_cpp_389,L23H6->MLP27,L23H6,MLP27,shared,0.5264900662251656,0.25496688741721857,0.271523178807947,0.234375,0.1484375,0.0859375
codecontests_cpp_389,MLP16->L17H2,MLP16,L17H2,no_tool_bias,0.8501655629139073,0.7764900662251656,0.07367549668874174,0.53515625,0.53515625,0.0
codecontests_cpp_389,MLP12->L16H8,MLP12,L16H8,no_tool_bias,0.6821192052980133,0.7102649006622517,-0.028145695364238388,0.46484375,0.4921875,-0.02734375
codecontests_cpp_389,MLP12->L16H4,MLP12,L16H4,no_tool_bias,0.6821192052980133,0.6903973509933775,-0.008278145695364225,0.46484375,0.46875,-0.00390625
codecontests_cpp_389,L17H8->MLP19,L17H8,MLP19,shared,0.25496688741721857,0.15562913907284767,0.0993377483443709,0.125,0.08984375,0.03515625
codecontests_cpp_389,MLP17->L18H14,MLP17,L18H14,tool_bias,0.7947019867549668,0.8162251655629139,-0.021523178807947074,0.541015625,0.515625,0.025390625
codecontests_cpp_389,MLP12->MLP16,MLP12,MLP16,no_tool_bias,0.6821192052980133,0.09933774834437085,0.5827814569536425,0.46484375,0.03125,0.43359375
codecontests_cpp_389,MLP11->MLP16,MLP11,MLP16,tool_bias,0.4768211920529801,0.06622516556291391,0.4105960264900662,0.30078125,-0.046875,0.34765625
codecontests_cpp_389,MLP16->L24H6,MLP16,L24H6,no_tool_bias,0.8501655629139073,0.6887417218543046,0.16142384105960272,0.53515625,0.48828125,0.046875
codecontests_cpp_389,MLP16->L21H12,MLP16,L21H12,shared,0.8501655629139073,0.7019867549668874,0.14817880794701987,0.53515625,0.40234375,0.1328125
codecontests_cpp_389,MLP11->L12H6,MLP11,L12H6,tool_bias,0.4768211920529801,0.4271523178807947,0.04966887417218541,0.30078125,0.265625,0.03515625
