sample_id,sample_rank,q_index,filename,direction,status,clean_obj,corrupt_obj,gap,detailed_ratio_vs_gap,necessity_ratio_vs_gap,rough_ratio_vs_gap,rough_necessity_ratio_vs_gap,probe_head,target_token_str,distractor_token_str,ap_mode,error
codecontests_java_23,56,,codecontests_java_23.txt,reverse_no_tool,skipped_resume,7.0,-6.0,13.0,0.9134615384615384,0.9423076923076923,0.8365384615384616,0.8942307692307693,L24H6,I,<tool_call>,full,
codecontests_cpp_24,57,,codecontests_cpp_24.txt,reverse_no_tool,skipped_resume,4.125,-3.0,7.125,0.9649122807017544,0.9298245614035088,0.9298245614035088,0.8947368421052632,L17H8,I,<tool_call>,full,
codecontests_java_24,58,,codecontests_java_24.txt,reverse_no_tool,skipped_resume,6.5,-3.5,10.0,0.95,0.9875,0.8375,0.95,L24H6,I,<tool_call>,full,
apps_python_25,59,,apps_python_25.txt,reverse_no_tool,skipped_resume,6.75,-2.375,9.125,1.1232876712328768,1.1506849315068493,0.8767123287671232,0.9041095890410958,L24H6,I,<tool_call>,full,
codecontests_java_25,60,,codecontests_java_25.txt,reverse_no_tool,skipped_resume,4.75,-3.625,8.375,1.2537313432835822,1.1791044776119404,1.3880597014925373,1.2761194029850746,L24H6,I,<tool_call>,full,
codecontests_cpp_26,61,,codecontests_cpp_26.txt,reverse_no_tool,skipped_resume,4.25,-2.625,6.875,1.0545454545454545,1.018181818181818,1.018181818181818,1.0,L24H6,I,<tool_call>,full,
codecontests_java_26,62,,codecontests_java_26.txt,reverse_no_tool,skipped_resume,6.25,-7.0,13.25,0.9716981132075472,0.9716981132075472,0.9245283018867925,0.9622641509433962,L24H6,I,<tool_call>,full,
humaneval_python_26,63,,humaneval_python_26.txt,reverse_no_tool,skipped_resume,3.25,-2.375,5.625,0.9777777777777777,1.0,1.0,1.0444444444444445,L20H14,I,<tool_call>,full,
codecontests_cpp_27,64,,codecontests_cpp_27.txt,reverse_no_tool,skipped_resume,3.0,-3.875,6.875,0.9818181818181818,0.9818181818181818,0.8909090909090909,0.9272727272727272,L21H12,I,<tool_call>,full,
codecontests_java_27,65,,codecontests_java_27.txt,reverse_no_tool,skipped_resume,7.25,-3.875,11.125,0.9101123595505618,0.9213483146067416,0.7303370786516854,0.8426966292134831,L24H6,I,<tool_call>,full,
codecontests_cpp_28,66,,codecontests_cpp_28.txt,reverse_no_tool,skipped_resume,3.125,-3.875,7.0,0.9285714285714286,0.9642857142857143,0.7857142857142857,0.8392857142857143,L21H12,I,<tool_call>,full,
codecontests_java_28,67,,codecontests_java_28.txt,reverse_no_tool,skipped_resume,6.0,-3.625,9.625,0.9090909090909091,0.948051948051948,0.8311688311688312,0.8831168831168831,L21H12,I,<tool_call>,full,
apps_python_29,68,,apps_python_29.txt,reverse_no_tool,skipped_resume,2.75,-2.375,5.125,1.0975609756097562,1.0975609756097562,1.1219512195121952,1.1219512195121952,L17H2,I,<tool_call>,full,
codecontests_cpp_29,69,,codecontests_cpp_29.txt,reverse_no_tool,skipped_resume,3.625,-2.875,6.5,0.9615384615384616,0.9807692307692307,0.9423076923076923,0.9423076923076923,L21H12,I,<tool_call>,full,
codecontests_java_29,70,,codecontests_java_29.txt,reverse_no_tool,skipped_resume,7.625,-3.375,11.0,0.9772727272727273,1.0113636363636365,0.8636363636363636,0.9431818181818182,L24H6,I,<tool_call>,full,
apps_python_30,71,,apps_python_30.txt,reverse_no_tool,skipped_resume,4.0,-3.0,7.0,1.0714285714285714,1.0357142857142858,0.9285714285714286,0.9821428571428571,L16H8,I,<tool_call>,full,
codecontests_cpp_30,72,,codecontests_cpp_30.txt,reverse_no_tool,skipped_resume,2.375,-4.0,6.375,1.0392156862745099,0.9803921568627451,0.9803921568627451,0.9607843137254902,L21H12,I,<tool_call>,full,
codecontests_java_30,73,,codecontests_java_30.txt,reverse_no_tool,skipped_resume,7.0,-3.25,10.25,1.0731707317073171,1.0365853658536586,1.1097560975609757,1.0731707317073171,L24H6,I,<tool_call>,full,
codecontests_cpp_32,74,,codecontests_cpp_32.txt,reverse_no_tool,skipped_resume,4.125,-3.75,7.875,1.0634920634920635,1.0,0.9365079365079365,0.9206349206349206,L24H6,I,<tool_call>,full,
codecontests_java_32,75,,codecontests_java_32.txt,reverse_no_tool,skipped_resume,8.0,-5.875,13.875,1.009009009009009,1.009009009009009,0.8648648648648649,0.8828828828828829,L24H6,I,<tool_call>,full,
mbpp_python_32,76,,mbpp_python_32.txt,reverse_no_tool,skipped_resume,5.0,-3.0,8.0,1.046875,1.0625,0.9375,0.953125,L24H6,I,<tool_call>,full,
