sample_id,component,direction,source_variant,base_variant,rescue_ratio,tool_score_delta,no_tool_score_delta,top1_success,boundary_flip
codecontests_java_2,MLP17,no_tool,corrupt_full,clean_no_protocol,0.004511443661971831,-1.75,0.02001953125,True,True
codecontests_java_2,L23H6,no_tool,corrupt_full,clean_full,0.23591549295774647,-0.0101318359375,1.046875,False,False
codecontests_java_2,L23H6,no_tool,corrupt_full,clean_no_schema,0.014084507042253521,0.21875,0.0625,True,True
codecontests_java_2,L23H6,no_tool,corrupt_full,clean_schema_mismatch,0.019586267605633804,-1.0,0.0869140625,True,True
codecontests_java_2,L23H6,no_tool,corrupt_full,clean_no_protocol,0.004731514084507042,1.625,0.02099609375,True,True
codecontests_java_2,L24H6,tool,clean_full,corrupt_full,0.6782407407407407,4.578125,-0.1220703125,False,False
codecontests_java_2,L24H6,tool,clean_full,clean_no_schema,0.5405092592592593,3.6484375,-0.4677734375,False,False
codecontests_java_2,L24H6,tool,clean_full,clean_schema_mismatch,0.2337962962962963,1.578125,-0.509765625,False,False
codecontests_java_2,L24H6,tool,clean_full,clean_no_protocol,2.0972222222222223,14.15625,0.01708984375,False,False
codecontests_cpp_3,L2H14,tool,clean_full,corrupt_full,0.22540983606557377,0.859375,-0.0213623046875,False,False
codecontests_cpp_3,L2H14,tool,clean_full,clean_no_schema,-0.00819672131147541,-0.03125,0.009521484375,False,False
codecontests_cpp_3,L2H14,tool,clean_full,clean_schema_mismatch,0.1557377049180328,0.59375,-0.0400390625,False,False
codecontests_cpp_3,L2H14,tool,clean_full,clean_no_protocol,0.04918032786885246,0.1875,-0.037109375,False,False
codecontests_cpp_3,MLP11,tool,clean_full,corrupt_full,0.01639344262295082,0.0625,-0.01470947265625,False,False
codecontests_cpp_3,MLP11,tool,clean_full,clean_no_schema,0.13934426229508196,0.53125,0.028564453125,False,False
codecontests_cpp_3,MLP11,tool,clean_full,clean_schema_mismatch,0.4344262295081967,1.65625,-0.0341796875,False,False
codecontests_cpp_3,MLP11,tool,clean_full,clean_no_protocol,-0.7868852459016393,-3.0,-0.44921875,False,False
codecontests_cpp_3,MLP16,tool,clean_full,corrupt_full,0.5901639344262295,2.25,-0.1279296875,False,False
codecontests_cpp_3,MLP16,tool,clean_full,clean_no_schema,0.8073770491803278,3.078125,0.024658203125,False,False
codecontests_cpp_3,MLP16,tool,clean_full,clean_schema_mismatch,0.1885245901639344,0.71875,0.01904296875,False,False
codecontests_cpp_3,MLP16,tool,clean_full,clean_no_protocol,-1.3114754098360655,-5.0,-1.52734375,False,False
codecontests_cpp_3,L21H12,tool,clean_full,corrupt_full,0.6413934426229508,2.4453125,-0.173828125,False,False
codecontests_cpp_3,L21H12,tool,clean_full,clean_no_schema,1.0081967213114753,3.84375,-0.05908203125,False,False
codecontests_cpp_3,L21H12,tool,clean_full,clean_schema_mismatch,1.5102459016393444,5.7578125,0.013671875,False,False
