sample_id,family,component,base_variant,rescue_ratio,decision_score,top1_success,boundary_flip
codecontests_cpp_6,query,L21H12,corrupt_full,0.8164893617021277,0.01953125,True,True
codecontests_cpp_6,query,L24H6,corrupt_full,0.6329787234042553,-0.861328125,False,False
codecontests_cpp_6,query,MLP27,corrupt_full,0.8789893617021277,0.46875,True,True
codecontests_cpp_6,suppress,L16H4,clean_full,0.16055045871559634,-2.854339599609375,False,False
codecontests_cpp_6,suppress,MLP17,clean_full,0.5619266055045872,-1.3701171875,False,False
codecontests_cpp_6,suppress,L23H6,clean_full,0.23394495412844038,-2.59796142578125,False,False
codecontests_java_6,query,L20H5,corrupt_full,0.2662337662337662,-7.0603179931640625,False,False
codecontests_java_6,query,L21H1,corrupt_full,0.4318181818181818,-5.4595947265625,False,False
codecontests_java_6,query,L21H12,corrupt_full,0.7775974025974026,-2.029296875,False,False
codecontests_java_6,query,L24H6,corrupt_full,0.5876623376623377,-3.93798828125,False,False
codecontests_java_6,query,MLP27,corrupt_full,0.8368506493506493,-1.3564453125,False,False
codecontests_java_6,suppress,L16H4,clean_full,0.6134259259259259,-0.9921875,False,False
codecontests_java_6,suppress,MLP17,clean_full,0.4027777777777778,-1.9501953125,False,False
codecontests_java_6,suppress,L23H6,clean_full,0.39814814814814814,-1.96875,False,False
codecontests_java_7,query,L20H5,corrupt_full,0.14705882352941177,-5.435516357421875,False,False
codecontests_java_7,query,L21H1,corrupt_full,0.5661764705882353,-2.701171875,False,False
codecontests_java_7,query,L21H12,corrupt_full,0.8308823529411765,-0.69921875,False,False
codecontests_java_7,query,L24H6,corrupt_full,0.6544117647058824,-2.076171875,False,False
codecontests_java_7,query,MLP27,corrupt_full,0.8878676470588235,-0.08984375,False,False
codecontests_java_7,suppress,L16H4,clean_full,0.12598425196850394,-3.465850830078125,False,False
codecontests_java_7,suppress,MLP17,clean_full,0.4409448818897638,-2.150390625,False,False
codecontests_java_7,suppress,L23H6,clean_full,0.2637795275590551,-2.9041748046875,False,False
apps_python_8,query,L20H5,corrupt_full,0.3444976076555024,-2.108642578125,False,False
apps_python_8,query,L21H1,corrupt_full,0.5358851674641149,-1.40673828125,False,False
apps_python_8,query,L21H12,corrupt_full,0.7272727272727273,-0.58984375,False,False
apps_python_8,query,L24H6,corrupt_full,0.44258373205741625,-1.7568359375,False,False
apps_python_8,query,MLP27,corrupt_full,0.5717703349282297,-1.2353515625,False,False
apps_python_8,suppress,L16H4,clean_full,0.30569948186528495,-2.0648193359375,False,False
apps_python_8,suppress,MLP17,clean_full,0.5414507772020726,-1.2490234375,False,False
apps_python_8,suppress,L23H6,clean_full,0.30569948186528495,-2.0654296875,False,False
apps_python_9,query,L20H5,corrupt_full,0.27488151658767773,-2.3714599609375,False,False
apps_python_9,query,L21H1,corrupt_full,0.6232227488151659,-1.06640625,False,False
apps_python_9,query,L21H12,corrupt_full,0.590047393364929,-1.203125,False,False
apps_python_9,query,L24H6,corrupt_full,0.5071090047393365,-1.53271484375,False,False
apps_python_9,query,MLP27,corrupt_full,0.8080568720379147,-0.138671875,False,False
apps_python_9,suppress,L16H4,clean_full,0.19689119170984457,-2.4117431640625,False,False
apps_python_9,suppress,MLP17,clean_full,0.422279792746114,-1.6748046875,False,False
apps_python_9,suppress,L23H6,clean_full,0.25906735751295334,-2.2156982421875,False,False
codecontests_cpp_9,query,L20H5,corrupt_full,0.32432432432432434,-2.3170166015625,False,False
codecontests_cpp_9,query,L21H1,corrupt_full,0.6531531531531531,-0.9951171875,False,False
codecontests_cpp_9,query,L21H12,corrupt_full,0.8513513513513513,0.1171875,True,True
codecontests_cpp_9,query,L24H6,corrupt_full,0.5067567567567568,-1.62109375,False,False
codecontests_cpp_9,query,MLP27,corrupt_full,0.7995495495495496,-0.232421875,True,False
codecontests_cpp_9,suppress,L16H4,clean_full,0.22169811320754718,-2.566650390625,False,False
codecontests_cpp_9,suppress,MLP17,clean_full,0.32547169811320753,-2.202880859375,False,False
codecontests_cpp_9,suppress,L23H6,clean_full,0.3113207547169811,-2.2540283203125,False,False
codecontests_java_9,query,L20H5,corrupt_full,0.3197278911564626,-6.242767333984375,False,False
codecontests_java_9,query,L21H1,corrupt_full,0.42517006802721086,-5.2666015625,False,False
codecontests_java_9,query,L21H12,corrupt_full,0.8112244897959183,-1.552734375,False,False
codecontests_java_9,query,L24H6,corrupt_full,0.5663265306122449,-3.94287109375,False,False
codecontests_java_9,query,MLP27,corrupt_full,0.7312925170068028,-2.35791015625,False,False
codecontests_java_9,suppress,L16H4,clean_full,0.3345070422535211,-2.9091796875,False,False
codecontests_java_9,suppress,MLP17,clean_full,0.5845070422535211,-1.68359375,False,False
codecontests_java_9,suppress,L23H6,clean_full,0.3028169014084507,-3.0753173828125,False,False
apps_python_10,query,L20H5,corrupt_full,0.35658914728682173,-1.248779296875,False,False
apps_python_10,query,L21H1,corrupt_full,0.7325581395348837,-0.17578125,True,False
apps_python_10,query,L21H12,corrupt_full,0.6705426356589147,-0.390625,False,False
apps_python_10,query,L24H6,corrupt_full,0.6395348837209303,-0.49609375,False,False
apps_python_10,query,MLP27,corrupt_full,0.9219961240310077,0.8740234375,True,True
