sample_id,stage,tool_token_delta,distractor_delta
codecontests_cpp_45,resid_post,0.0,0.19140625
codecontests_java_45,resid_mid,0.0,0.0595703125
codecontests_java_45,resid_post,-0.03125,0.029296875
apps_python_46,resid_mid,-0.09375,0.39658451080322266
apps_python_46,resid_post,0.0625,-0.0234375
codecontests_cpp_46,resid_mid,0.1875,0.053955078125
codecontests_cpp_46,resid_post,0.09375,0.0703125
codecontests_java_46,resid_mid,0.0625,0.1181640625
codecontests_java_46,resid_post,-0.03125,0.0234375
apps_python_47,resid_mid,-0.09375,0.5126953125
apps_python_47,resid_post,-0.03125,0.0
codecontests_cpp_47,resid_mid,0.0,0.09716796875
codecontests_cpp_47,resid_post,0.0,-0.03125
codecontests_java_47,resid_mid,0.09375,0.06005859375
codecontests_java_47,resid_post,0.09375,0.0546875
humaneval_python_47,resid_mid,-0.125,0.3271484375
humaneval_python_47,resid_post,0.0,-0.03125
apps_python_48,resid_mid,-0.03125,-0.23046875
apps_python_48,resid_post,-0.125,0.078125
codecontests_cpp_48,resid_mid,0.1875,-0.166015625
codecontests_cpp_48,resid_post,0.125,-0.080078125
codecontests_java_48,resid_mid,-0.03125,0.0732421875
codecontests_java_48,resid_post,-0.09375,0.0234375
apps_python_49,resid_mid,-0.03125,0.10546875
apps_python_49,resid_post,-0.0625,-0.125
codecontests_cpp_49,resid_mid,0.125,0.40234375
codecontests_cpp_49,resid_post,0.03125,0.046875
codecontests_java_49,resid_mid,0.15625,0.0146484375
codecontests_java_49,resid_post,0.125,-0.0234375
codecontests_cpp_50,resid_mid,-0.03125,0.12548828125
codecontests_cpp_50,resid_post,-0.03125,0.05859375
codecontests_java_50,resid_mid,0.0,0.3017578125
codecontests_java_50,resid_post,-0.125,0.171875
apps_python_51,resid_mid,-0.125,0.468505859375
apps_python_51,resid_post,-0.09375,0.0859375
codecontests_java_51,resid_mid,0.09375,0.043701171875
codecontests_java_51,resid_post,0.03125,0.068359375
codecontests_cpp_52,resid_mid,-0.0625,0.14276123046875
codecontests_cpp_52,resid_post,-0.0625,0.1171875
codecontests_java_52,resid_mid,0.125,0.17578125
codecontests_java_52,resid_post,0.0,0.185546875
apps_python_53,resid_mid,0.125,0.03533935546875
apps_python_53,resid_post,0.21875,0.15625
codecontests_cpp_53,resid_mid,-0.03125,-0.17578125
codecontests_cpp_53,resid_post,-0.0625,0.00390625
codecontests_java_53,resid_mid,0.15625,-0.1907958984375
codecontests_java_53,resid_post,0.125,-0.0078125
apps_python_54,resid_mid,0.0625,0.025390625
apps_python_54,resid_post,0.09375,0.015625
codecontests_java_54,resid_mid,0.0625,0.0439453125
codecontests_java_54,resid_post,-0.09375,0.3642578125
mbpp_python_54,resid_mid,-0.03125,0.4052734375
mbpp_python_54,resid_post,0.03125,-0.03125
codecontests_java_55,resid_mid,0.0625,-0.00244140625
codecontests_java_55,resid_post,-0.03125,0.037109375
mbpp_python_55,resid_mid,-0.125,-0.2109375
mbpp_python_55,resid_post,-0.15625,-0.0234375
codecontests_cpp_56,resid_mid,0.0,0.5615234375
codecontests_cpp_56,resid_post,-0.0625,0.28515625
codecontests_java_56,resid_mid,0.0625,0.08203125
codecontests_java_56,resid_post,-0.03125,0.17578125
codecontests_cpp_57,resid_mid,0.25,-0.1234130859375
codecontests_cpp_57,resid_post,0.1875,0.037109375
codecontests_java_57,resid_mid,0.0625,0.0966796875
codecontests_java_57,resid_post,0.03125,0.076171875
apps_python_58,resid_mid,-0.03125,0.537109375
apps_python_58,resid_post,-0.03125,-0.0703125
codecontests_java_58,resid_mid,0.125,0.2275390625
codecontests_java_58,resid_post,0.03125,0.037109375
