sample_id,variant,span,attn_mass,attn_density
mbpp_python_11,base,lead_phrase,0.024539554491639137,0.006134888622909784
mbpp_python_11,base,function_body_anchor,0.009378228336572647,0.0046891141682863235
mbpp_python_11,base,file_target,0.0227922685444355,0.01139613427221775
mbpp_python_11,base,tail_suffix,0.09152081608772278,0.008320074528455734
mbpp_python_11,base,task_body,0.11561483144760132,0.0008377886260859668
codecontests_cpp_12,clean,lead_phrase,0.07663563638925552,0.03831781819462776
codecontests_cpp_12,clean,function_body_anchor,0.02753383480012417,0.013766917400062084
codecontests_cpp_12,clean,file_target,0.021704062819480896,0.010852031409740448
codecontests_cpp_12,clean,tail_suffix,0.09876523166894913,0.00897865742444992
codecontests_cpp_12,clean,task_body,0.12080234289169312,0.0013727538753300905
codecontests_cpp_12,base,lead_phrase,0.1301134079694748,0.0650567039847374
codecontests_cpp_12,base,function_body_anchor,0.014911914244294167,0.007455957122147083
codecontests_cpp_12,base,file_target,0.01766916736960411,0.008834583684802055
codecontests_cpp_12,base,tail_suffix,0.08342614769935608,0.007584195118397474
codecontests_cpp_12,base,task_body,0.11715969443321228,0.0013313601957634091
codecontests_java_12,clean,lead_phrase,0.012686068192124367,0.006343034096062183
codecontests_java_12,clean,function_body_anchor,0.007584212813526392,0.003792106406763196
codecontests_java_12,clean,file_target,0.010874716565012932,0.005437358282506466
codecontests_java_12,clean,tail_suffix,0.07559366524219513,0.006872151512652636
codecontests_java_12,clean,task_body,0.12912878394126892,0.0015557684237137437
codecontests_java_12,base,lead_phrase,0.1586715430021286,0.0793357715010643
codecontests_java_12,base,function_body_anchor,0.007607918232679367,0.0038039591163396835
codecontests_java_12,base,file_target,0.009328940883278847,0.004664470441639423
codecontests_java_12,base,tail_suffix,0.07510192692279816,0.006827448029071093
codecontests_java_12,base,task_body,0.10780753940343857,0.0012988860253244638
apps_python_13,clean,lead_phrase,0.055774904787540436,0.011154981330037117
apps_python_13,clean,function_body_anchor,0.0053422171622514725,0.0026711085811257362
apps_python_13,clean,file_target,0.016259949654340744,0.008129974827170372
apps_python_13,clean,tail_suffix,0.05539551004767418,0.005035955458879471
apps_python_13,clean,task_body,0.0829339325428009,0.001316411653533578
