sample_id,step_idx,nodes,rescue_ratio,decision_score,no_tool_top1,boundary_flip
codecontests_cpp_22,2,L16H4|MLP17,0.6016949152542372,-0.927734375,False,False
codecontests_cpp_22,3,L16H4|MLP17|L23H6,0.7641242937853108,-0.24609375,False,False
codecontests_java_22,1,L16H4,0.24701195219123506,-2.937255859375,False,False
codecontests_java_22,2,L16H4|MLP17,0.7579681274900398,-0.5,False,False
codecontests_java_22,3,L16H4|MLP17|L23H6,0.8864541832669323,0.5859375,True,True
apps_python_23,1,L16H4,0.29120879120879123,-1.988525390625,False,False
apps_python_23,2,L16H4|MLP17,0.7362637362637363,-0.357421875,False,False
apps_python_23,3,L16H4|MLP17|L23H6,0.8502747252747253,0.33984375,True,True
codecontests_cpp_23,1,L16H4,0.27717391304347827,-2.0509033203125,False,False
codecontests_cpp_23,2,L16H4|MLP17,0.7785326086956522,-0.10546875,True,False
codecontests_cpp_23,3,L16H4|MLP17|L23H6,0.9069293478260869,0.927734375,True,True
codecontests_java_23,1,L16H4,0.105,-5.5923919677734375,False,False
codecontests_java_23,2,L16H4|MLP17,0.59,-2.47216796875,False,False
codecontests_java_23,3,L16H4|MLP17|L23H6,0.80875,-0.7890625,False,False
codecontests_cpp_24,1,L16H4,0.23423423423423423,-2.640869140625,False,False
codecontests_cpp_24,2,L16H4|MLP17,0.6306306306306306,-1.0673828125,False,False
codecontests_cpp_24,3,L16H4|MLP17|L23H6,0.8536036036036037,0.2578125,True,True
codecontests_java_24,1,L16H4,0.2217573221757322,-2.8931884765625,False,False
codecontests_java_24,2,L16H4|MLP17,0.6380753138075314,-1.1162109375,False,False
codecontests_java_24,3,L16H4|MLP17|L23H6,0.8462343096234309,0.21875,True,True
apps_python_25,1,L16H4,0.12280701754385964,-2.336395263671875,False,False
apps_python_25,2,L16H4|MLP17,0.4269005847953216,-1.44189453125,False,False
apps_python_25,3,L16H4|MLP17|L23H6,0.6666666666666666,-0.53125,False,False
codecontests_java_25,1,L16H4,0.20522388059701493,-3.31787109375,False,False
codecontests_java_25,2,L16H4|MLP17,0.5298507462686567,-1.876953125,False,False
codecontests_java_25,3,L16H4|MLP17|L23H6,0.6921641791044776,-1.0478515625,False,False
codecontests_cpp_26,1,L16H4,0.04316546762589928,-2.078268051147461,False,False
codecontests_cpp_26,2,L16H4|MLP17,0.7158273381294964,-0.212890625,False,False
codecontests_cpp_26,3,L16H4|MLP17|L23H6,0.8255395683453237,0.3359375,True,True
codecontests_java_26,1,L16H4,0.08771929824561403,-6.499362945556641,False,False
codecontests_java_26,2,L16H4|MLP17,0.31140350877192985,-4.900146484375,False,False
codecontests_java_26,3,L16H4|MLP17|L23H6,0.4780701754385965,-3.692138671875,False,False
humaneval_python_26,1,L16H4,0.10546875,-1.78399658203125,False,False
humaneval_python_26,2,L16H4|MLP17,0.529296875,-0.7919921875,False,False
humaneval_python_26,3,L16H4|MLP17|L23H6,0.751953125,-0.037109375,True,False
codecontests_cpp_27,1,L16H4,0.22916666666666666,-1.7225341796875,False,False
codecontests_cpp_27,2,L16H4|MLP17,0.5347222222222222,-0.9423828125,False,False
codecontests_cpp_27,3,L16H4|MLP17|L23H6,0.7013888888888888,-0.431640625,False,False
codecontests_java_27,1,L16H4,0.1510204081632653,-3.2447509765625,False,False
codecontests_java_27,2,L16H4|MLP17,0.31020408163265306,-2.614501953125,False,False
codecontests_java_27,3,L16H4|MLP17|L23H6,0.6632653061224489,-1.046875,False,False
codecontests_cpp_28,1,L16H4,0.19823788546255505,-2.83734130859375,False,False
