sample_id,variant,semantic,frame,tool_score,no_tool_score,decision_score,tool_top1,no_tool_top1,l2h14_lead_density,l2h14_file_density,l2h14_function_density,l2h14_tail_density
codecontests_java_3,original_corrupt,no_tool,original,-9.25,0.0,-9.25,False,True,0.08002973347902298,0.004548260942101479,0.004239440895617008,0.006982767954468727
codecontests_java_3,tool_out,tool,out,-0.015869140625,-4.0,3.984130859375,True,False,0.030129222199320793,0.0053818016313016415,0.009775759652256966,0.007804932072758675
codecontests_java_3,no_tool_out,no_tool,out,-9.875,-0.027099609375,-9.847900390625,False,True,0.015429757535457611,0.005217504687607288,0.005729570519179106,0.007718209642916918
codecontests_java_3,tool_manually,tool,manually,-0.57421875,-0.86328125,0.2890625,True,False,0.012850344181060791,0.004130144603550434,0.003270803252235055,0.006543188821524382
codecontests_java_3,no_tool_manually,no_tool,manually,-11.8125,-0.01519775390625,-11.79730224609375,False,True,0.014383204281330109,0.0037239431403577328,0.002854115329682827,0.006718951277434826
codecontests_java_3,tool_properly,tool,properly,-0.1435546875,-2.046875,1.9033203125,True,False,0.010673299431800842,0.0041857208125293255,0.0030136327259242535,0.005567558575421572
codecontests_java_3,no_tool_properly,no_tool,properly,-12.75,-0.333984375,-12.416015625,False,False,0.009800201281905174,0.0038508963771164417,0.0032349289394915104,0.005985571537166834
apps_python_4,original_clean,tool,original,0.0,-4.875,4.875,True,False,0.029315756633877754,0.011052949354052544,0.009392562322318554,0.00789980124682188
apps_python_4,original_corrupt,no_tool,original,-4.15625,0.0,-4.15625,False,True,0.01542828232049942,0.011188066564500332,0.005322613753378391,0.007619762793183327
apps_python_4,tool_out,tool,out,0.0,-4.875,4.875,True,False,0.029315756633877754,0.011052949354052544,0.009392562322318554,0.00789980124682188
apps_python_4,no_tool_out,no_tool,out,-4.15625,0.0,-4.15625,False,True,0.01542828232049942,0.011188066564500332,0.005322613753378391,0.007619762793183327
apps_python_4,tool_manually,tool,manually,-0.1689453125,-1.640625,1.4716796875,True,False,0.011338690295815468,0.009221602231264114,0.0031353398226201534,0.0066369459964334965
apps_python_4,no_tool_manually,no_tool,manually,-4.84375,-0.0419921875,-4.8017578125,False,True,0.012573912739753723,0.008788768202066422,0.0027570808306336403,0.006890380755066872
apps_python_4,tool_properly,tool,properly,-0.057373046875,-2.421875,2.364501953125,True,False,0.011372608132660389,0.009352581575512886,0.00294281542301178,0.005616618320345879
apps_python_4,no_tool_properly,no_tool,properly,-3.53125,-0.154296875,-3.376953125,False,True,0.008802840486168861,0.009207517839968204,0.0031021027825772762,0.006128954701125622
codecontests_cpp_4,original_clean,tool,original,0.0,-1.703125,1.703125,True,False,0.030764726921916008,0.015276708640158176,0.010508234612643719,0.008335179649293423
codecontests_cpp_4,original_corrupt,no_tool,original,-4.28125,0.0,-4.28125,False,True,0.05729173123836517,0.012952722609043121,0.00585401663556695,0.00700565567240119
codecontests_cpp_4,tool_out,tool,out,-0.478515625,-5.09375,4.615234375,True,False,0.030652523040771484,0.014019950293004513,0.008394664153456688,0.006881266832351685
codecontests_cpp_4,no_tool_out,no_tool,out,-1.3515625,-0.138671875,-1.212890625,False,True,0.015531432814896107,0.01367530319839716,0.00479971943423152,0.006769801490008831
codecontests_cpp_4,tool_manually,tool,manually,-0.2138671875,-3.59375,3.3798828125,True,False,0.012639498338103294,0.011048085987567902,0.002755099441856146,0.005781807005405426
codecontests_cpp_4,no_tool_manually,no_tool,manually,-0.79296875,-0.2734375,-0.51953125,False,True,0.014333372004330158,0.011254486627876759,0.0024612448178231716,0.005948403384536505
codecontests_cpp_4,tool_properly,tool,properly,-0.333984375,-4.375,4.041015625,True,False,0.010797344148159027,0.01182227861136198,0.0026093553751707077,0.004841786343604326
codecontests_cpp_4,no_tool_properly,no_tool,properly,-0.6328125,-0.30859375,-0.32421875,False,True,0.009945920668542385,0.011492203921079636,0.002761335577815771,0.005358390510082245
codecontests_java_4,original_clean,tool,original,0.0,-5.65625,5.65625,True,False,0.00904751569032669,0.005273253191262484,0.005055313929915428,0.005884608719497919
codecontests_java_4,original_corrupt,no_tool,original,-11.3125,0.0,-11.3125,False,True,0.036768294870853424,0.005402848124504089,0.006042114458978176,0.0068807764910161495
codecontests_java_4,tool_out,tool,out,-0.037353515625,-3.515625,3.478271484375,True,False,0.031727422028779984,0.005816733464598656,0.009779009036719799,0.007012879475951195
codecontests_java_4,no_tool_out,no_tool,out,-12.9375,-0.030517578125,-12.906982421875,False,True,0.015593129210174084,0.005615002475678921,0.005582952871918678,0.006988386623561382
codecontests_java_4,tool_manually,tool,manually,-1.34375,-0.33203125,-1.01171875,False,True,0.012994973920285702,0.00451690424233675,0.0032921461388468742,0.005941686220467091
codecontests_java_4,no_tool_manually,no_tool,manually,-12.375,-0.0927734375,-12.2822265625,False,True,0.014587540179491043,0.0041978927329182625,0.0028776158578693867,0.006054192781448364
codecontests_java_4,tool_properly,tool,properly,-0.45703125,-0.98828125,0.53125,True,False,0.011453318409621716,0.004676098935306072,0.0031013451516628265,0.004996315110474825
codecontests_java_4,no_tool_properly,no_tool,properly,-12.5625,-0.173828125,-12.388671875,False,True,0.010108326561748981,0.004372347611933947,0.003230693284422159,0.00539024081081152
