source,target,support_weighted,support_unweighted
MLP2,L12H6,0.025054825396973186,0.02613240418118467
MLP1,MLP11,0.024912078306916004,0.024390243902439025
MLP18,L20H5,0.02480967386947726,0.025551684088269456
MLP4,L16H4,0.024544836650012232,0.02497096399535424
L20H14,L23H6,0.024420127613969098,0.023228803716608595
MLP9,L13H6,0.024171999261166928,0.023228803716608595
L16H9,L17H14,0.024000866171927985,0.02264808362369338
MLP11,L12H0,0.02399674561239086,0.02264808362369338
MLP16,L17H14,0.023971816692871618,0.02264808362369338
L10H2,L12H6,0.023899182148202795,0.02497096399535424
MLP5,L10H2,0.023898730609738038,0.02497096399535424
MLP2,L16H4,0.023826762322432155,0.024390243902439025
L2H14,MLP3,0.023775504232848757,0.023809523809523808
MLP9,L15H5,0.023616364492358773,0.02264808362369338
L13H10,MLP16,0.02335725098917079,0.022067363530778164
L16H8,L17H14,0.02324904191476777,0.022067363530778164
MLP11,MLP14,0.023246037914825962,0.022067363530778164
MLP5,L6H0,0.02323547489566511,0.025551684088269456
L9H3,MLP16,0.02311562871586686,0.02264808362369338
MLP4,MLP12,0.023058447179612692,0.023228803716608595
L21H1,Residual Output: no_tool,0.022918435360363067,0.02264808362369338
MLP19,MLP21,0.02287473927199577,0.02264808362369338
L2H15,MLP6,0.022842879644156093,0.023228803716608595
L2H14,L10H2,0.02276838767316645,0.024390243902439025
MLP26,Residual Output: no_tool,0.022721686275123325,0.02148664343786295
L24H6,MLP26,0.022721686275123325,0.02148664343786295
MLP23,L24H6,0.022660255838051542,0.02264808362369338
L11H1,L16H8,0.022537926788809042,0.02148664343786295
L2H14,L6H0,0.022513728784820216,0.02497096399535424
L6H0,MLP11,0.022200456686168265,0.02264808362369338
MLP1,L16H8,0.022187615398660068,0.02264808362369338
L2H15,L4H15,0.0221333903310158,0.024390243902439025
L11H1,L16H4,0.02212022272680137,0.02148664343786295
L4H15,MLP11,0.022075708300755593,0.022067363530778164
L20H5,MLP21,0.022049186773003826,0.02264808362369338
MLP3,L9H3,0.021984523647703882,0.02148664343786295
L11H5,MLP12,0.021866390775227396,0.020905923344947737
L2H14,L4H15,0.0216824968545823,0.02264808362369338
L12H0,L15H5,0.021650351689591958,0.02032520325203252
L23H6,MLP26,0.02155115457505602,0.02032520325203252
L20H14,L21H12,0.021548308400190595,0.02148664343786295
MLP15,MLP16,0.02146687750580576,0.020905923344947737
L11H1,L15H5,0.02125669536108152,0.02032520325203252
L2H15,L12H6,0.02053963950761243,0.023228803716608595
L15H9,MLP17,0.02046431974179209,0.020905923344947737
MLP10,L12H0,0.020432515449591952,0.01916376306620209
MLP15,L16H4,0.02042639848553825,0.02032520325203252
MLP10,L11H1,0.02023145998037419,0.01916376306620209
MLP0,L12H6,0.01992902991341338,0.019744483159117306
MLP2,MLP11,0.019820346950631472,0.019744483159117306
MLP6,L11H1,0.019804555575317306,0.01916376306620209
L21H12,MLP23,0.019558880749280586,0.019744483159117306
L17H14,MLP19,0.0195231547185275,0.018583042973286876
MLP3,L13H9,0.019449422662781903,0.01916376306620209
MLP4,L11H1,0.01938864873152183,0.01916376306620209
MLP12,L23H6,0.01920047794981181,0.018583042973286876
MLP9,L10H2,0.019135541246515828,0.018583042973286876
MLP21,L24H6,0.01909966835482946,0.019744483159117306
MLP6,L10H2,0.019084122414728993,0.01916376306620209
L20H5,L23H6,0.019070659618334762,0.018583042973286876
MLP11,L15H9,0.019021243938826666,0.018583042973286876
MLP0,L16H8,0.01897632538642801,0.018583042973286876
MLP4,L13H6,0.01892815487123931,0.01916376306620209
L9H3,L13H9,0.018903535277580482,0.018583042973286876
MLP4,L12H6,0.018879846711939253,0.01916376306620209
L13H3,L16H4,0.018877501440038597,0.019744483159117306
MLP14,L17H8,0.01877470914068223,0.018002322880371662
MLP4,L9H3,0.01874039262291677,0.018583042973286876
MLP7,L13H9,0.0187302468110761,0.018583042973286876
MLP11,L15H5,0.01864849833394147,0.018002322880371662
MLP0,MLP11,0.018412110789475817,0.018002322880371662
MLP1,L16H4,0.018273743869932316,0.018583042973286876
MLP11,L13H13,0.0182567287443499,0.018002322880371662
L17H1,MLP19,0.018189546112029043,0.018002322880371662
MLP12,L13H11,0.018179978185896634,0.020905923344947737
L16H9,MLP20,0.017957709258146482,0.017421602787456445
L11H1,L12H6,0.01794207444562355,0.017421602787456445
L16H4,MLP18,0.017882425184111053,0.018583042973286876
MLP23,Residual Output: no_tool,0.017716667138616034,0.018002322880371662
L15H5,L17H2,0.01756215302501099,0.01684088269454123
L11H5,MLP16,0.01744964674825074,0.01684088269454123
L16H13,L17H2,0.017415035489362504,0.017421602787456445
L17H8,L21H12,0.01736920563665767,0.017421602787456445
L2H15,MLP3,0.017318043899164925,0.01916376306620209
MLP12,L21H1,0.01718526599604029,0.01684088269454123
Input Embed,L13H3,0.016756555344017196,0.016260162601626018
MLP0,L13H9,0.016413013831730758,0.01684088269454123
MLP14,L16H4,0.016228570759617256,0.0156794425087108
MLP21,MLP27,0.016180317316768493,0.0156794425087108
MLP13,L20H5,0.016178772142891592,0.016260162601626018
MLP10,L16H4,0.01615458449310152,0.0156794425087108
MLP10,L13H3,0.016054422815824206,0.015098722415795587
L12H6,L16H13,0.015932997209175542,0.016260162601626018
L13H6,MLP17,0.015922805861150732,0.0156794425087108
MLP12,L13H6,0.015889542144180934,0.016260162601626018
MLP10,MLP11,0.015500306693668295,0.015098722415795587
Input Embed,MLP8,0.015483650066189363,0.015098722415795587
L4H15,MLP5,0.015374118529605072,0.01684088269454123
