node,layer,support_weighted,support_unweighted,median_score_norm,mean_score_norm
L16H5,16,0.002943621823182937,0.0029036004645760743,0.22145669291338582,0.2185611815864564
L16H1,16,0.002448917100339704,0.0023228803716608595,0.2553600912975913,0.24308245661318137
L5H13,5,0.0023340494013630447,0.0023228803716608595,0.09193680996006577,0.09245395504449357
L17H11,17,0.0018598636247952431,0.0017421602787456446,0.19318181818181818,0.2156675329435088
L15H4,15,0.001856757873126843,0.0017421602787456446,0.14166666666666666,0.13878333637081589
L10H13,10,0.0016849139652889784,0.0017421602787456446,0.21022727272727273,0.18524464897138335
L5H1,5,0.0015710546458081323,0.0017421602787456446,0.0651285046728972,0.062466260869411566
L9H8,9,0.0012438961485313875,0.0011614401858304297,0.14719650512026672,0.14719650512026672
L9H12,9,0.0012409139632134222,0.0011614401858304297,0.07927882102590905,0.07927882102590905
L20H4,20,0.0012188701596350705,0.0011614401858304297,0.1459624655647383,0.1459624655647383
L15H11,15,0.0012046942974666755,0.0011614401858304297,0.09225999228890888,0.09225999228890888
L12H14,12,0.0011947232990936459,0.0011614401858304297,0.10595515207945376,0.10595515207945376
L18H13,18,0.0011917453579521307,0.0011614401858304297,0.1352594958865745,0.1352594958865745
L3H0,3,0.001187080510935798,0.0011614401858304297,0.040242574025487254,0.040242574025487254
L13H7,13,0.0011566719637295412,0.0011614401858304297,0.11091886238205448,0.11091886238205448
L13H14,13,0.0011510635437773041,0.0011614401858304297,0.07987049549549549,0.07987049549549549
L1H13,1,0.0011312734661636078,0.0011614401858304297,0.04947152084556665,0.04947152084556665
L12H4,12,0.0011172564094486307,0.0011614401858304297,0.07532085849870578,0.07532085849870578
L11H0,11,0.001084179314306273,0.0011614401858304297,0.12820855614973262,0.12820855614973262
L4H11,4,0.0010328815917072156,0.0011614401858304297,0.06308098591549297,0.06308098591549297
L4H4,4,0.0009972674856799735,0.0011614401858304297,0.07655662909286098,0.07655662909286098
L17H4,17,0.0009632018260116532,0.0011614401858304297,0.14772884266203523,0.14772884266203523
