sample_id,sample_rank,q_index,gap,orig_suff_ratio,orig_nec_ratio,refined_suff_ratio,refined_nec_ratio,k_local,n_refined_nodes,n_orig_nodes
humaneval_python_76,184,,9.875,1.0506329113924051,1.0759493670886076,1.0886075949367089,1.0886075949367089,1,11,16
apps_python_77,185,,10.125,1.0,1.0246913580246915,1.0,0.9876543209876543,1,11,16
codecontests_cpp_77,186,,7.5,0.9,0.8833333333333333,0.8833333333333333,0.8666666666666667,0,10,16
codecontests_java_77,187,,10.875,1.1149425287356323,1.1379310344827587,1.0804597701149425,1.0804597701149425,0,10,16
humaneval_python_78,188,,6.25,1.04,1.02,1.1,1.08,0,10,16
apps_python_79,189,,10.625,0.9882352941176471,1.035294117647059,1.011764705882353,1.011764705882353,1,11,16
codecontests_cpp_79,190,,7.875,0.9206349206349206,0.9523809523809523,0.9365079365079365,0.9841269841269841,0,10,16
codecontests_java_79,191,,14.5,1.0172413793103448,1.043103448275862,1.0258620689655173,1.0775862068965518,0,10,16
mbpp_python_79,192,,6.25,1.04,1.08,1.0,1.04,1,11,16
apps_python_80,193,,9.0,0.9444444444444444,0.9861111111111112,0.9861111111111112,1.0277777777777777,1,11,16
codecontests_cpp_80,194,,8.75,0.9285714285714286,0.9285714285714286,0.9428571428571428,0.9142857142857143,1,11,16
codecontests_java_80,195,,15.5,1.0,1.0241935483870968,1.0,1.032258064516129,1,11,16
apps_python_81,196,,11.0,1.0227272727272727,0.9886363636363636,1.0340909090909092,1.0113636363636365,2,12,16
codecontests_java_81,197,,6.625,0.8679245283018868,0.8301886792452831,0.8679245283018868,0.8490566037735849,1,11,14
mbpp_python_81,198,,5.75,0.9347826086956522,1.065217391304348,0.9347826086956522,0.9782608695652174,1,11,16
apps_python_82,199,,9.875,0.9240506329113924,0.9620253164556962,0.9240506329113924,0.9493670886075949,2,12,16
codecontests_java_82,200,,11.5,0.8804347826086957,0.8260869565217391,0.9021739130434783,0.9021739130434783,0,10,16
apps_python_83,201,,6.875,1.0363636363636364,1.0909090909090908,1.0,1.0909090909090908,0,10,16
codecontests_cpp_83,202,,6.0,1.0,1.0208333333333333,1.0,1.0208333333333333,0,10,16
codecontests_java_83,203,,11.375,0.9340659340659341,0.8461538461538461,0.978021978021978,0.9120879120879121,2,12,16
apps_python_84,204,,9.625,0.987012987012987,1.0,0.987012987012987,0.987012987012987,1,11,16
codecontests_java_84,205,,8.75,1.1714285714285715,1.1714285714285715,1.1142857142857143,1.0714285714285714,0,10,16
humaneval_python_84,206,,5.0,0.95,0.925,0.975,0.975,1,11,16
apps_python_85,207,,8.25,0.9696969696969697,1.0,0.9393939393939394,1.0,0,10,16
codecontests_cpp_85,208,,5.875,0.9361702127659575,0.8723404255319149,0.9574468085106383,0.9361702127659575,0,10,16
codecontests_java_85,209,,8.0,1.078125,1.046875,1.078125,1.0625,0,10,16
humaneval_python_85,210,,5.0,1.0,1.0,1.025,1.025,1,11,16
apps_python_86,211,,7.625,0.9836065573770492,1.0327868852459017,0.9672131147540983,1.0,0,10,16
codecontests_java_86,212,,8.25,1.1363636363636365,1.1818181818181819,1.0606060606060606,1.0454545454545454,1,11,16
apps_python_87,213,,5.875,0.9787234042553191,1.0,0.9787234042553191,1.0212765957446808,1,11,16
codecontests_cpp_87,214,,7.75,0.9838709677419355,1.032258064516129,0.967741935483871,1.0,1,11,16
codecontests_java_87,215,,13.75,1.009090909090909,1.0545454545454545,1.0272727272727273,1.0727272727272728,0,10,16
apps_python_88,216,,5.125,0.9512195121951219,1.0,0.9512195121951219,1.048780487804878,0,10,16
codecontests_java_88,217,,12.3125,0.9695431472081218,0.934010152284264,0.9695431472081218,0.934010152284264,1,11,16
codecontests_cpp_89,218,,6.375,0.9803921568627451,0.9607843137254902,0.9803921568627451,0.9803921568627451,0,10,16
