source,target,support_weighted,support_unweighted
MLP12,L13H6,0.01587901590444672,0.016353229762878167
MLP4,L12H0,0.015835313323916963,0.01553556827473426
MLP10,L13H13,0.01559751402523798,0.014717906786590351
MLP14,L17H12,0.015587763970199297,0.014717906786590351
L20H14,L24H6,0.015571798317015755,0.014717906786590351
MLP2,MLP12,0.015557901611937895,0.01553556827473426
MLP11,L13H11,0.015551930725770999,0.016353229762878167
L16H13,L17H2,0.015550092472911356,0.01553556827473426
MLP1,L13H6,0.015431803195703284,0.01553556827473426
MLP1,L12H6,0.015421188394017703,0.01553556827473426
MLP10,MLP11,0.015226190823993799,0.014717906786590351
L13H11,MLP16,0.015200263153642325,0.017988552739165987
MLP14,L16H4,0.015160357981510558,0.014717906786590351
L17H12,MLP18,0.015011513595502955,0.016353229762878167
MLP12,L17H1,0.014833401989635535,0.014717906786590351
L2H15,MLP3,0.014800841761837706,0.017170891251022075
L15H5,L16H9,0.014771913673560164,0.013900245298446443
MLP7,L13H9,0.01467771907503346,0.014717906786590351
L11H1,L16H13,0.01457435889186219,0.013900245298446443
Input Embed,L13H10,0.014568182042938606,0.013900245298446443
MLP12,L13H2,0.01453820581515768,0.014717906786590351
L9H7,MLP12,0.014451208804437234,0.016353229762878167
L11H8,MLP16,0.014403014773824475,0.014717906786590351
L4H15,MLP12,0.014399362520937676,0.016353229762878167
L16H9,L17H2,0.01439256114499246,0.013900245298446443
L13H6,MLP17,0.014357367135045535,0.013900245298446443
L10H2,MLP16,0.01433114044225081,0.013900245298446443
MLP1,L9H3,0.014306649182052544,0.013900245298446443
L2H15,L10H5,0.014293526080216909,0.013900245298446443
L13H3,L16H4,0.014241023146532935,0.014717906786590351
L18H14,L21H12,0.014038017514667715,0.014717906786590351
MLP4,MLP7,0.013972665540979864,0.013900245298446443
MLP2,L9H3,0.013971411594917747,0.013900245298446443
L17H2,L18H14,0.013832657819131374,0.013082583810302535
MLP0,L11H1,0.013811890493633369,0.013900245298446443
L11H4,MLP12,0.013801632040291568,0.013900245298446443
L12H6,L13H11,0.01375854032761586,0.01553556827473426
MLP9,MLP11,0.013742046849659755,0.013082583810302535
L13H9,MLP14,0.013626962947371138,0.013900245298446443
MLP5,L16H9,0.013614747932887463,0.013082583810302535
L10H2,MLP14,0.013555221548646811,0.013082583810302535
MLP4,L10H2,0.013527331630082014,0.013082583810302535
L20H14,L21H1,0.01351945582707494,0.013082583810302535
MLP0,L10H2,0.013468267560886175,0.013082583810302535
MLP9,MLP12,0.013327562541512789,0.013082583810302535
L20H5,MLP23,0.013253678744950257,0.013900245298446443
L2H14,L10H5,0.013114578904775612,0.013082583810302535
MLP4,MLP13,0.01305523637784964,0.013082583810302535
MLP6,L13H3,0.013034049380332736,0.013900245298446443
MLP9,L12H0,0.013006512886343576,0.013082583810302535
L17H1,MLP18,0.012937325278227172,0.013082583810302535
L13H10,MLP17,0.012924481706438248,0.012264922322158627
MLP3,L10H2,0.012921010744789886,0.013082583810302535
MLP5,L11H8,0.012866893967848911,0.013082583810302535
MLP13,L21H12,0.012849658666002593,0.013082583810302535
L20H5,L24H6,0.012843241666072827,0.014717906786590351
L11H8,L12H6,0.012763786711376887,0.013082583810302535
Input Embed,L10H5,0.012751649806232014,0.012264922322158627
Input Embed,L13H9,0.012743069987476428,0.012264922322158627
MLP13,L15H9,0.012631747124806324,0.013082583810302535
L13H15,MLP16,0.01262435454511992,0.013082583810302535
L2H14,L6H8,0.012587949757493383,0.013082583810302535
MLP6,L10H5,0.01258444061034659,0.012264922322158627
L13H3,MLP27,0.012463162832425202,0.012264922322158627
MLP4,MLP9,0.012448782099724715,0.012264922322158627
MLP5,L9H3,0.012441241076750256,0.012264922322158627
L2H14,MLP9,0.012418039239296482,0.012264922322158627
MLP3,L11H1,0.012398035896332748,0.012264922322158627
MLP13,L16H6,0.012386845827210452,0.013082583810302535
L12H0,L13H6,0.012371935937640409,0.012264922322158627
MLP6,L9H3,0.012341324397852104,0.012264922322158627
MLP7,L11H1,0.012306380460444688,0.012264922322158627
MLP17,MLP21,0.012281184396016304,0.012264922322158627
MLP13,L17H2,0.012270750863111208,0.012264922322158627
L16H13,MLP27,0.012230820353810037,0.012264922322158627
L12H3,L15H5,0.012225352092999542,0.012264922322158627
L13H6,L15H9,0.012199746802553358,0.012264922322158627
Input Embed,L13H6,0.012196839409628978,0.012264922322158627
