sample_id,base_variant,step_idx,node,rescue_ratio,top1_is_tool,boundary_flip
humaneval_python_11,clean_no_protocol,1,L21H12,1.5870967741935484,False,False
humaneval_python_11,clean_no_protocol,2,MLP27,2.4387096774193546,False,False
mbpp_python_11,clean_no_schema,1,L21H12,0.014599116161616162,True,True
mbpp_python_11,clean_no_schema,2,MLP27,-0.032670454545454544,True,True
mbpp_python_11,clean_schema_mismatch,1,L21H12,0.9873737373737373,False,False
mbpp_python_11,clean_schema_mismatch,2,MLP27,1.5101010101010102,True,True
mbpp_python_11,clean_no_protocol,1,L21H12,2.3838383838383836,False,False
mbpp_python_11,clean_no_protocol,2,MLP27,3.7676767676767677,False,False
codecontests_cpp_12,clean_no_schema,1,L21H12,0.6461267605633803,True,True
codecontests_cpp_12,clean_no_schema,2,MLP27,0.7077464788732394,True,True
codecontests_cpp_12,clean_schema_mismatch,1,L21H12,2.8838028169014085,False,False
codecontests_cpp_12,clean_schema_mismatch,2,MLP27,3.429137323943662,True,True
codecontests_cpp_12,clean_no_protocol,1,L21H12,3.9014084507042255,False,False
codecontests_cpp_12,clean_no_protocol,2,MLP27,6.278169014084507,True,False
codecontests_java_12,clean_no_schema,1,L21H12,0.7557010135135135,True,True
codecontests_java_12,clean_no_schema,2,MLP27,0.7957928631756757,True,True
codecontests_java_12,clean_schema_mismatch,1,L21H12,1.322212837837838,True,True
codecontests_java_12,clean_schema_mismatch,2,MLP27,1.4040065456081081,True,True
codecontests_java_12,clean_no_protocol,1,L21H12,0.839527027027027,False,False
codecontests_java_12,clean_no_protocol,2,MLP27,0.9834512246621622,True,True
apps_python_13,clean_no_schema,1,L21H12,0.3723958333333333,True,True
apps_python_13,clean_no_schema,2,MLP27,0.3859375,True,True
apps_python_13,clean_schema_mismatch,1,L21H12,0.8395833333333333,False,False
apps_python_13,clean_schema_mismatch,2,MLP27,1.0578125,True,True
apps_python_13,clean_no_protocol,1,L21H12,1.5041666666666667,False,False
apps_python_13,clean_no_protocol,2,MLP27,2.1510416666666665,False,True
codecontests_java_13,clean_no_schema,1,L21H12,0.5701844262295082,True,True
codecontests_java_13,clean_no_schema,2,MLP27,0.632172131147541,True,True
codecontests_java_13,clean_schema_mismatch,1,L21H12,0.4022797131147541,True,True
codecontests_java_13,clean_schema_mismatch,2,MLP27,0.42674180327868855,True,True
codecontests_java_13,clean_no_protocol,1,L21H12,1.4180327868852458,False,False
codecontests_java_13,clean_no_protocol,2,MLP27,2.4149590163934427,True,True
apps_python_14,clean_no_schema,1,L21H12,0.15330615942028986,True,True
apps_python_14,clean_no_schema,2,MLP27,0.08831521739130435,True,True
apps_python_14,clean_schema_mismatch,1,L21H12,1.286231884057971,False,False
apps_python_14,clean_schema_mismatch,2,MLP27,1.4173460144927537,True,True
apps_python_14,clean_no_protocol,1,L21H12,1.7463768115942029,False,False
apps_python_14,clean_no_protocol,2,MLP27,2.3768115942028984,False,False
codecontests_cpp_14,clean_no_schema,1,L21H12,0.6949728260869565,False,False
codecontests_cpp_14,clean_no_schema,2,MLP27,0.80078125,True,True
codecontests_cpp_14,clean_schema_mismatch,1,L21H12,0.12822690217391305,True,True
codecontests_cpp_14,clean_schema_mismatch,2,MLP27,0.13991380774456522,True,True
codecontests_cpp_14,clean_no_protocol,1,L21H12,1.6358695652173914,False,False
codecontests_cpp_14,clean_no_protocol,2,MLP27,2.385869565217391,True,True
codecontests_java_14,clean_no_schema,1,L21H12,1.0259615384615384,True,True
codecontests_java_14,clean_no_schema,2,MLP27,1.0993990384615384,True,True
codecontests_java_14,clean_schema_mismatch,1,L21H12,0.20516826923076922,True,True
codecontests_java_14,clean_schema_mismatch,2,MLP27,0.2092510516826923,True,True
codecontests_java_14,clean_no_protocol,1,L21H12,1.5115384615384615,False,False
codecontests_java_14,clean_no_protocol,2,MLP27,2.0502403846153845,True,True
codecontests_cpp_15,clean_no_schema,1,L21H12,0.4326424870466321,False,False
codecontests_cpp_15,clean_no_schema,2,MLP27,0.5531088082901554,False,True
codecontests_cpp_15,clean_schema_mismatch,1,L21H12,1.5544041450777202,False,False
codecontests_cpp_15,clean_schema_mismatch,2,MLP27,2.079339378238342,False,True
codecontests_cpp_15,clean_no_protocol,1,L21H12,1.8860103626943006,False,False
codecontests_cpp_15,clean_no_protocol,2,MLP27,3.3238341968911915,False,False
codecontests_java_15,clean_no_schema,1,L21H12,1.1231751824817517,False,True
codecontests_java_15,clean_no_schema,2,MLP27,1.22211450729927,True,True
codecontests_java_15,clean_schema_mismatch,1,L21H12,1.0642107664233578,True,True
codecontests_java_15,clean_schema_mismatch,2,MLP27,1.0863366788321167,True,True
codecontests_java_15,clean_no_protocol,1,L21H12,0.9397810218978102,False,False
codecontests_java_15,clean_no_protocol,2,MLP27,1.1205234945255473,True,True
apps_python_16,clean_no_schema,1,L21H12,0.02509124087591241,True,True
apps_python_16,clean_no_schema,2,MLP27,-0.032162408759124086,False,True
apps_python_16,clean_schema_mismatch,1,L21H12,0.8120437956204379,False,False
apps_python_16,clean_schema_mismatch,2,MLP27,0.9720574817518248,True,True
apps_python_16,clean_no_protocol,1,L21H12,1.364963503649635,False,False
apps_python_16,clean_no_protocol,2,MLP27,1.9607664233576643,False,True
codecontests_cpp_16,clean_no_schema,1,L21H12,0.24118589743589744,True,True
codecontests_cpp_16,clean_no_schema,2,MLP27,0.28178418803418803,True,True
codecontests_cpp_16,clean_schema_mismatch,1,L21H12,0.9722222222222222,False,False
codecontests_cpp_16,clean_schema_mismatch,2,MLP27,1.1697382478632479,True,True
codecontests_cpp_16,clean_no_protocol,1,L21H12,1.1538461538461537,False,False
codecontests_cpp_16,clean_no_protocol,2,MLP27,1.9017094017094016,False,False
codecontests_java_16,clean_no_schema,1,L21H12,0.5455827067669173,True,True
codecontests_java_16,clean_no_schema,2,MLP27,0.6219454887218046,True,True
codecontests_java_16,clean_schema_mismatch,1,L21H12,1.6353383458646618,False,False
codecontests_java_16,clean_schema_mismatch,2,MLP27,1.8587875939849625,True,True
codecontests_java_16,clean_no_protocol,1,L21H12,2.1654135338345863,False,False
codecontests_java_16,clean_no_protocol,2,MLP27,3.3778195488721803,False,False
apps_python_17,clean_no_schema,1,L21H12,0.2355263157894737,True,True
apps_python_17,clean_no_schema,2,MLP27,0.2471217105263158,True,True
apps_python_17,clean_schema_mismatch,1,L21H12,0.743421052631579,True,True
apps_python_17,clean_schema_mismatch,2,MLP27,0.869860197368421,True,True
apps_python_17,clean_no_protocol,1,L21H12,1.9947368421052631,False,False
apps_python_17,clean_no_protocol,2,MLP27,2.8394736842105264,False,False
codecontests_cpp_17,clean_no_schema,1,L21H12,0.3550420168067227,True,True
codecontests_cpp_17,clean_no_schema,2,MLP27,0.4085477941176471,True,True
codecontests_cpp_17,clean_schema_mismatch,1,L21H12,1.4390756302521008,False,False
codecontests_cpp_17,clean_schema_mismatch,2,MLP27,1.8413865546218486,True,True
codecontests_cpp_17,clean_no_protocol,1,L21H12,1.3067226890756303,False,False
codecontests_cpp_17,clean_no_protocol,2,MLP27,2.067752100840336,True,True
codecontests_java_17,clean_no_schema,1,L21H12,0.6993483412322274,False,False
codecontests_java_17,clean_no_schema,2,MLP27,0.7601821682464455,True,True
codecontests_java_17,clean_schema_mismatch,1,L21H12,0.6792061611374408,True,True
codecontests_java_17,clean_schema_mismatch,2,MLP27,0.7221193720379147,True,True
codecontests_java_17,clean_no_protocol,1,L21H12,0.6848341232227488,False,False
codecontests_java_17,clean_no_protocol,2,MLP27,0.8972156398104265,True,True
mbpp_python_17,clean_no_schema,1,L21H12,0.32094594594594594,True,True
mbpp_python_17,clean_no_schema,2,MLP27,0.2652027027027027,False,False
mbpp_python_17,clean_schema_mismatch,1,L21H12,0.6410472972972973,False,False
mbpp_python_17,clean_schema_mismatch,2,MLP27,0.7780827702702703,True,True
mbpp_python_17,clean_no_protocol,1,L21H12,1.8141891891891893,False,False
mbpp_python_17,clean_no_protocol,2,MLP27,2.363175675675676,False,False
codecontests_cpp_18,clean_no_schema,1,L21H12,0.41880841121495327,True,True
codecontests_cpp_18,clean_no_schema,2,MLP27,0.47313084112149534,True,True
codecontests_cpp_18,clean_schema_mismatch,1,L21H12,2.4848130841121496,False,False
