sample_id,mode,group,ratio,signed_recovery,base_margin,source_margin,patched_margin,sign_consistent,boundary_flip,closer_to_source,source_dominance,endpoint_authenticity
codecontests_java_4,promote,reverse_selective,0.8,0.8,-12.25,6.5,2.75,True,True,True,True,0.8
codecontests_java_4,promote,shared_backbone,0.9733333333333334,0.9733333333333334,-12.25,6.5,6.0,True,True,True,True,0.9733333333333334
codecontests_java_4,promote,shared_core,0.9533333333333334,0.9533333333333334,-12.25,6.5,5.625,True,True,True,True,0.9533333333333334
codecontests_java_4,suppress,forward_only_core,-0.09333333333333334,0.09333333333333334,6.5,-12.25,4.75,True,False,True,False,0.09333333333333338
codecontests_java_4,suppress,forward_selective,-0.4866666666666667,0.4866666666666667,6.5,-12.25,-2.625,True,True,True,False,0.4866666666666667
codecontests_java_4,suppress,reverse_only_core,-0.08,0.08,6.5,-12.25,5.0,True,False,True,False,0.07999999999999996
codecontests_java_4,suppress,reverse_selective,-0.38,0.38,6.5,-12.25,-0.625,True,True,True,False,0.38
codecontests_java_4,suppress,shared_backbone,-0.9233333333333333,0.9233333333333333,6.5,-12.25,-10.8125,True,True,True,True,0.9233333333333333
codecontests_java_4,suppress,shared_core,-0.8733333333333333,0.8733333333333333,6.5,-12.25,-9.875,True,True,True,True,0.8733333333333333
mbpp_python_4,promote,forward_only_core,0.38596491228070173,0.38596491228070173,-5.375,1.75,-2.625,True,False,True,False,0.38596491228070173
mbpp_python_4,promote,forward_selective,0.45614035087719296,0.45614035087719296,-5.375,1.75,-2.125,True,False,True,False,0.45614035087719296
mbpp_python_4,promote,reverse_only_core,0.2631578947368421,0.2631578947368421,-5.375,1.75,-3.5,True,False,True,False,0.26315789473684215
mbpp_python_4,promote,reverse_selective,0.8596491228070176,0.8596491228070176,-5.375,1.75,0.75,True,True,True,True,0.8596491228070176
mbpp_python_4,promote,shared_backbone,1.087719298245614,1.087719298245614,-5.375,1.75,2.375,True,True,True,True,0.9122807017543859
mbpp_python_4,promote,shared_core,1.0175438596491229,1.0175438596491229,-5.375,1.75,1.875,True,True,True,True,0.9824561403508771
mbpp_python_4,suppress,forward_only_core,0.10526315789473684,-0.10526315789473684,1.75,-5.375,2.5,False,False,False,False,0.0
mbpp_python_4,suppress,forward_selective,-0.17543859649122806,0.17543859649122806,1.75,-5.375,0.5,True,False,True,False,0.17543859649122806
mbpp_python_4,suppress,reverse_only_core,-0.017543859649122806,0.017543859649122806,1.75,-5.375,1.625,True,False,True,False,0.01754385964912286
mbpp_python_4,suppress,reverse_selective,-0.49122807017543857,0.49122807017543857,1.75,-5.375,-1.75,True,True,True,False,0.49122807017543857
mbpp_python_4,suppress,shared_backbone,-1.087719298245614,1.087719298245614,1.75,-5.375,-6.0,True,True,True,True,0.9122807017543859
mbpp_python_4,suppress,shared_core,-0.9298245614035088,0.9298245614035088,1.75,-5.375,-4.875,True,True,True,True,0.9298245614035088
apps_python_5,promote,forward_only_core,0.23214285714285715,0.23214285714285715,-5.875,1.125,-4.25,True,False,True,False,0.2321428571428571
apps_python_5,promote,forward_selective,0.6785714285714286,0.6785714285714286,-5.875,1.125,-1.125,True,False,True,True,0.6785714285714286
apps_python_5,promote,reverse_only_core,0.42857142857142855,0.42857142857142855,-5.875,1.125,-2.875,True,False,True,False,0.4285714285714286
apps_python_5,promote,reverse_selective,0.5,0.5,-5.875,1.125,-2.375,True,False,True,True,0.5
apps_python_5,promote,shared_backbone,0.9285714285714286,0.9285714285714286,-5.875,1.125,0.625,True,True,True,True,0.9285714285714286
apps_python_5,promote,shared_core,0.9642857142857143,0.9642857142857143,-5.875,1.125,0.875,True,True,True,True,0.9642857142857143
apps_python_5,suppress,forward_only_core,-0.07142857142857142,0.07142857142857142,1.125,-5.875,0.625,True,False,True,False,0.0714285714285714
apps_python_5,suppress,forward_selective,-0.5535714285714286,0.5535714285714286,1.125,-5.875,-2.75,True,True,True,True,0.5535714285714286
apps_python_5,suppress,reverse_only_core,-0.26785714285714285,0.26785714285714285,1.125,-5.875,-0.75,True,True,True,False,0.2678571428571429
apps_python_5,suppress,reverse_selective,-0.42857142857142855,0.42857142857142855,1.125,-5.875,-1.875,True,True,True,False,0.4285714285714286
apps_python_5,suppress,shared_backbone,-0.9464285714285714,0.9464285714285714,1.125,-5.875,-5.5,True,True,True,True,0.9464285714285714
apps_python_5,suppress,shared_core,-0.9821428571428571,0.9821428571428571,1.125,-5.875,-5.75,True,True,True,True,0.9821428571428571
codecontests_cpp_5,promote,forward_only_core,0.4745762711864407,0.4745762711864407,-3.75,3.625,-0.25,True,False,True,False,0.47457627118644063
codecontests_cpp_5,promote,forward_selective,0.7627118644067796,0.7627118644067796,-3.75,3.625,1.875,True,True,True,True,0.7627118644067796
codecontests_cpp_5,promote,reverse_only_core,0.3898305084745763,0.3898305084745763,-3.75,3.625,-0.875,True,False,True,False,0.38983050847457623
codecontests_cpp_5,promote,reverse_selective,0.7627118644067796,0.7627118644067796,-3.75,3.625,1.875,True,True,True,True,0.7627118644067796
codecontests_cpp_5,promote,shared_backbone,0.9491525423728814,0.9491525423728814,-3.75,3.625,3.25,True,True,True,True,0.9491525423728814
codecontests_cpp_5,promote,shared_core,0.9322033898305084,0.9322033898305084,-3.75,3.625,3.125,True,True,True,True,0.9322033898305084
codecontests_cpp_5,suppress,forward_only_core,-0.3050847457627119,0.3050847457627119,3.625,-3.75,1.375,True,False,True,False,0.30508474576271183
codecontests_cpp_5,suppress,forward_selective,-0.7457627118644068,0.7457627118644068,3.625,-3.75,-1.875,True,True,True,True,0.7457627118644068
codecontests_cpp_5,suppress,reverse_only_core,-0.2542372881355932,0.2542372881355932,3.625,-3.75,1.75,True,False,True,False,0.2542372881355932
codecontests_cpp_5,suppress,reverse_selective,-0.6271186440677966,0.6271186440677966,3.625,-3.75,-1.0,True,True,True,True,0.6271186440677966
codecontests_cpp_5,suppress,shared_backbone,-0.9322033898305084,0.9322033898305084,3.625,-3.75,-3.25,True,True,True,True,0.9322033898305084
codecontests_cpp_5,suppress,shared_core,-0.9152542372881356,0.9152542372881356,3.625,-3.75,-3.125,True,True,True,True,0.9152542372881356
codecontests_java_5,promote,forward_only_core,0.7170731707317073,0.7170731707317073,-9.3125,3.5,-0.125,True,False,True,True,0.7170731707317073
codecontests_java_5,promote,forward_selective,0.9219512195121952,0.9219512195121952,-9.3125,3.5,2.5,True,True,True,True,0.9219512195121952
codecontests_java_5,promote,reverse_only_core,0.2975609756097561,0.2975609756097561,-9.3125,3.5,-5.5,True,False,True,False,0.29756097560975614
codecontests_java_5,promote,reverse_selective,0.824390243902439,0.824390243902439,-9.3125,3.5,1.25,True,True,True,True,0.8243902439024391
codecontests_java_5,promote,shared_backbone,1.0585365853658537,1.0585365853658537,-9.3125,3.5,4.25,True,True,True,True,0.9414634146341463
codecontests_java_5,promote,shared_core,1.0195121951219512,1.0195121951219512,-9.3125,3.5,3.75,True,True,True,True,0.9804878048780488
