sample_id,head,variant,span,attn_mass,attn_density,n_tokens
codecontests_java_1,L20H5,clean,task_body,0.030854543671011925,0.0003546499356161803,87
codecontests_java_1,L20H5,corrupt,lead_phrase,0.0002827246789820492,0.0001413623394910246,2
codecontests_java_1,L20H5,corrupt,function_body_anchor,0.08373650163412094,0.04186825081706047,2
codecontests_java_1,L20H5,corrupt,file_target,0.05913033336400986,0.02956516668200493,2
codecontests_java_1,L20H5,corrupt,tail_suffix,0.10137185454368591,0.009215623140335083,11
codecontests_java_1,L20H5,corrupt,task_body,0.1251106560230255,0.0014380535576492548,87
mbpp_python_1,L2H14,clean,lead_phrase,0.05288677662611008,0.01322169415652752,4
mbpp_python_1,L2H14,clean,function_body_anchor,0.007776516489684582,0.003888258244842291,2
mbpp_python_1,L2H14,clean,file_target,0.02001972310245037,0.010009861551225185,2
mbpp_python_1,L2H14,clean,tail_suffix,0.10492109507322311,0.009538281708955765,11
mbpp_python_1,L2H14,clean,task_body,0.10194090753793716,0.0007229851325973868,141
mbpp_python_1,L2H14,corrupt,lead_phrase,0.026975378394126892,0.006743844598531723,4
mbpp_python_1,L2H14,corrupt,function_body_anchor,0.006638676859438419,0.0033193384297192097,2
mbpp_python_1,L2H14,corrupt,file_target,0.01937331259250641,0.009686656296253204,2
mbpp_python_1,L2H14,corrupt,tail_suffix,0.0927734449505806,0.008433949202299118,11
mbpp_python_1,L2H14,corrupt,task_body,0.10625366121530533,0.0007535720942541957,141
mbpp_python_1,L16H8,clean,lead_phrase,0.00495844054967165,0.0012396101374179125,4
mbpp_python_1,L16H8,clean,function_body_anchor,0.06447765231132507,0.03223882615566254,2
mbpp_python_1,L16H8,clean,file_target,0.044689491391181946,0.022344745695590973,2
mbpp_python_1,L16H8,clean,tail_suffix,0.1443295180797577,0.013120865449309349,11
mbpp_python_1,L16H8,clean,task_body,0.18014834821224213,0.0012776479125022888,141
mbpp_python_1,L16H8,corrupt,lead_phrase,0.00434900913387537,0.0010872522834688425,4
mbpp_python_1,L16H8,corrupt,function_body_anchor,0.10799244046211243,0.05399622023105621,2
mbpp_python_1,L16H8,corrupt,file_target,0.04914466664195061,0.024572333320975304,2
mbpp_python_1,L16H8,corrupt,tail_suffix,0.12083213776350021,0.01098474022001028,11
mbpp_python_1,L16H8,corrupt,task_body,0.21773014962673187,0.0015441854484379292,141
mbpp_python_1,L17H2,clean,lead_phrase,0.006262574344873428,0.001565643586218357,4
mbpp_python_1,L17H2,clean,function_body_anchor,0.021310683339834213,0.010655341669917107,2
mbpp_python_1,L17H2,clean,file_target,0.01824496127665043,0.009122480638325214,2
mbpp_python_1,L17H2,clean,tail_suffix,0.03806496411561966,0.0034604512620717287,11
mbpp_python_1,L17H2,clean,task_body,0.06530692428350449,0.00046316967927850783,141
mbpp_python_1,L17H2,corrupt,lead_phrase,0.012070348486304283,0.003017587121576071,4
mbpp_python_1,L17H2,corrupt,function_body_anchor,0.020266611129045486,0.010133305564522743,2
mbpp_python_1,L17H2,corrupt,file_target,0.025281909853219986,0.012640954926609993,2
mbpp_python_1,L17H2,corrupt,tail_suffix,0.03764325752854347,0.003422114299610257,11
mbpp_python_1,L17H2,corrupt,task_body,0.07610860466957092,0.000539777334779501,141
mbpp_python_1,L17H8,clean,lead_phrase,0.002734885085374117,0.0006837212713435292,4
mbpp_python_1,L17H8,clean,function_body_anchor,0.012161432765424252,0.006080716382712126,2
mbpp_python_1,L17H8,clean,file_target,0.01912095583975315,0.009560477919876575,2
mbpp_python_1,L17H8,clean,tail_suffix,0.06860357522964478,0.006236688699573278,11
mbpp_python_1,L17H8,clean,task_body,0.03772389143705368,0.0002675453433766961,141
mbpp_python_1,L17H8,corrupt,lead_phrase,0.014188474044203758,0.0035471185110509396,4
mbpp_python_1,L17H8,corrupt,function_body_anchor,0.023687932640314102,0.011843966320157051,2
mbpp_python_1,L17H8,corrupt,file_target,0.036838557571172714,0.018419278785586357,2
mbpp_python_1,L17H8,corrupt,tail_suffix,0.06518063694238663,0.005925512406975031,11
mbpp_python_1,L17H8,corrupt,task_body,0.047543495893478394,0.00033718792838044465,141
mbpp_python_1,L20H5,clean,lead_phrase,0.0005953822401352227,0.00014884556003380567,4
mbpp_python_1,L20H5,clean,function_body_anchor,0.026819836348295212,0.013409918174147606,2
mbpp_python_1,L20H5,clean,file_target,0.1385376900434494,0.0692688450217247,2
mbpp_python_1,L20H5,clean,tail_suffix,0.03502599895000458,0.0031841816380620003,11
mbpp_python_1,L20H5,clean,task_body,0.02218962274491787,0.0001573732151882723,141
mbpp_python_1,L20H5,corrupt,lead_phrase,0.0003360971750225872,8.40242937556468e-05,4
mbpp_python_1,L20H5,corrupt,function_body_anchor,0.09093250334262848,0.04546625167131424,2
mbpp_python_1,L20H5,corrupt,file_target,0.16226518154144287,0.08113259077072144,2
mbpp_python_1,L20H5,corrupt,tail_suffix,0.05312231183052063,0.004829301033169031,11
mbpp_python_1,L20H5,corrupt,task_body,0.05451129376888275,0.0003866049228236079,141
codecontests_java_2,L2H14,clean,lead_phrase,0.03921753540635109,0.013072512112557888,3
codecontests_java_2,L2H14,clean,function_body_anchor,0.020190203562378883,0.010095101781189442,2
codecontests_java_2,L2H14,clean,file_target,0.014253136701881886,0.007126568350940943,2
codecontests_java_2,L2H14,clean,tail_suffix,0.13152284920215607,0.011956622824072838,11
codecontests_java_2,L2H14,clean,task_body,0.15457826852798462,0.0012076427228748798,128
codecontests_java_2,L2H14,corrupt,lead_phrase,0.16557307541370392,0.055191025137901306,3
codecontests_java_2,L2H14,corrupt,function_body_anchor,0.019822459667921066,0.009911229833960533,2
codecontests_java_2,L2H14,corrupt,file_target,0.01134350523352623,0.005671752616763115,2
codecontests_java_2,L2H14,corrupt,tail_suffix,0.10373008996248245,0.009430008009076118,11
codecontests_java_2,L2H14,corrupt,task_body,0.13094979524612427,0.0010230452753603458,128
codecontests_java_2,L16H8,clean,lead_phrase,0.004155587404966354,0.0013851957628503442,3
codecontests_java_2,L16H8,clean,function_body_anchor,0.020003490149974823,0.010001745074987411,2
codecontests_java_2,L16H8,clean,file_target,0.015331018716096878,0.007665509358048439,2
codecontests_java_2,L16H8,clean,tail_suffix,0.14949245750904083,0.013590223155915737,11
codecontests_java_2,L16H8,clean,task_body,0.11369514465332031,0.0008882433176040649,128
codecontests_java_2,L16H8,corrupt,lead_phrase,0.015955504029989243,0.005318501498550177,3
codecontests_java_2,L16H8,corrupt,function_body_anchor,0.1053566187620163,0.05267830938100815,2
codecontests_java_2,L16H8,corrupt,file_target,0.01960884779691696,0.00980442389845848,2
codecontests_java_2,L16H8,corrupt,tail_suffix,0.1600562185049057,0.014550565741956234,11
codecontests_java_2,L16H8,corrupt,task_body,0.12000536918640137,0.0009375419467687607,128
codecontests_java_2,L17H2,clean,lead_phrase,0.010649848729372025,0.003549949498847127,3
codecontests_java_2,L17H2,clean,function_body_anchor,0.0039722309447824955,0.0019861154723912477,2
codecontests_java_2,L17H2,clean,file_target,0.0048297978937625885,0.0024148989468812943,2
codecontests_java_2,L17H2,clean,tail_suffix,0.03259812295436859,0.002963465638458729,11
codecontests_java_2,L17H2,clean,task_body,0.12227698415517807,0.0009552889387123287,128
codecontests_java_2,L17H2,corrupt,lead_phrase,0.020237036049365997,0.006745678838342428,3
codecontests_java_2,L17H2,corrupt,function_body_anchor,0.020659811794757843,0.010329905897378922,2
codecontests_java_2,L17H2,corrupt,file_target,0.014431808143854141,0.007215904071927071,2
