sample_id,stage_idx,nodes,rescue_ratio,decision_score,tool_top1,boundary_flip
codecontests_java_5,2,L2H14|MLP11,0.857421875,-0.810546875,False,False
codecontests_java_5,3,L2H14|MLP11|MLP16,0.8232421875,-0.890625,False,False
codecontests_java_5,4,L2H14|MLP11|MLP16|MLP19,0.963134765625,1.009765625,True,True
codecontests_java_5,5,L2H14|MLP11|MLP16|MLP19|L20H5,0.982666015625,1.611328125,True,True
codecontests_java_5,6,L2H14|MLP11|MLP16|MLP19|L20H5|L21H1,0.99566650390625,2.48095703125,True,True
codecontests_java_5,7,L2H14|MLP11|MLP16|MLP19|L20H5|L21H1|L21H12,0.9992866516113281,3.213043212890625,True,True
codecontests_java_5,8,L2H14|MLP11|MLP16|MLP19|L20H5|L21H1|L21H12|L24H6,0.9995784759521484,3.4653778076171875,True,True
codecontests_java_5,9,L2H14|MLP11|MLP16|MLP19|L20H5|L21H1|L21H12|L24H6|MLP27,0.99755859375,4.88671875,True,True
codecontests_cpp_6,1,L2H14,-0.648936170212766,-4.794921875,False,False
codecontests_cpp_6,2,L2H14|MLP11,-0.44680851063829785,-4.19091796875,False,False
codecontests_cpp_6,3,L2H14|MLP11|MLP16,0.0,-2.89208984375,False,False
codecontests_cpp_6,4,L2H14|MLP11|MLP16|MLP19,0.7925531914893617,-0.05859375,False,False
codecontests_cpp_6,5,L2H14|MLP11|MLP16|MLP19|L20H5,0.8490691489361702,0.294921875,True,True
codecontests_cpp_6,6,L2H14|MLP11|MLP16|MLP19|L20H5|L21H1,0.9375,1.10546875,True,True
codecontests_cpp_6,7,L2H14|MLP11|MLP16|MLP19|L20H5|L21H1|L21H12,0.976063829787234,1.8125,True,True
codecontests_cpp_6,8,L2H14|MLP11|MLP16|MLP19|L20H5|L21H1|L21H12|L24H6,0.9867021276595744,2.1328125,True,True
codecontests_cpp_6,9,L2H14|MLP11|MLP16|MLP19|L20H5|L21H1|L21H12|L24H6|MLP27,0.9950132978723404,2.5634765625,True,True
codecontests_java_6,1,L2H14,0.012987012987012988,-9.4947509765625,False,False
codecontests_java_6,2,L2H14|MLP11,0.4448051948051948,-5.32830810546875,False,False
