node,layer,forward_support,reverse_support,shared_support_min,union_support_max,support_delta_reverse_minus_forward,direction_balance,forward_score_norm_median,reverse_score_norm_median
MLP21,21,0.33411095227975113,0.04435439490961636,0.04435439490961636,0.33411095227975113,-0.2897565573701348,-0.7656092150099896,0.4359938307306728,0.20242914979757085
L11H9,11,0.08208394077001463,0.04213684857571799,0.04213684857571799,0.08208394077001463,-0.03994709219429664,-0.3215813746209217,0.22289156626506024,0.1474283559577677
L17H1,17,0.04267191677449768,0.041203950352623864,0.041203950352623864,0.04267191677449768,-0.0014679664218738148,-0.01750165419630151,0.37206626783248964,0.24302112623945538
MLP15,15,0.050164725000597155,0.039727892964228344,0.039727892964228344,0.050164725000597155,-0.01043683203636881,-0.11610332719926665,0.4034653465346535,0.2634228187919463
MLP22,22,0.045274187975844336,0.03853683585463566,0.03853683585463566,0.045274187975844336,-0.006737352121208677,-0.08038742176489758,0.3419354838709677,0.24812030075187969
L12H0,12,0.03642461179008807,0.10623109927849979,0.03642461179008807,0.10623109927849979,0.06980648748841173,0.48933538633338886,0.1951219512195122,0.13766891891891891
L12H10,12,0.020344059591681406,0.020475452094792283,0.020344059591681406,0.020475452094792283,0.00013139250311087688,0.0032188651378310404,0.19230769230769232,0.1606280193236715
L6H8,6,0.058917496659465385,0.019041715836230554,0.019041715836230554,0.058917496659465385,-0.03987578082323483,-0.5114954287851013,0.03340890522875817,0.05121415301067073
L13H15,13,0.021295509127214774,0.018644393831473986,0.018644393831473986,0.021295509127214774,-0.0026511152957407885,-0.06637760984254093,0.15594457924215968,0.13826383154417837
L13H11,13,0.016809737413912812,0.029517656171776353,0.016809737413912812,0.029517656171776353,0.012707918757863541,0.2743067928990743,0.1492559523809524,0.16545893719806765
L12H3,12,0.015178176231909908,0.02217970621469993,0.015178176231909908,0.02217970621469993,0.007001529982790021,0.18741774223408633,0.1619154815001823,0.19072164948453607
L16H6,16,0.014697039844599405,0.03286812494792409,0.014697039844599405,0.03286812494792409,0.018171085103324686,0.3820250635646047,0.31201642459617207,0.1856060606060606
L9H15,9,0.01424957689828512,0.01840621694564457,0.01424957689828512,0.01840621694564457,0.004156640047359449,0.1272864492967185,0.14195427126834032,0.10732023840041015
L15H9,15,0.013510928732651795,0.08862248146891198,0.013510928732651795,0.08862248146891198,0.07511155273626019,0.7354258766844755,0.3205032467532467,0.2156398104265403
MLP8,8,0.013336134149733767,0.020168168304184476,0.013336134149733767,0.020168168304184476,0.00683203415445071,0.2039151289255306,0.1770316301703163,0.1162280701754386
L6H7,6,0.04883838192606237,0.013091736505851962,0.013091736505851962,0.04883838192606237,-0.03574664542021041,-0.5772093825318628,0.060633157630522086,0.0772804054054054
L12H13,12,0.010283938576774992,0.033708251808068745,0.010283938576774992,0.033708251808068745,0.023424313231293754,0.5324652631837112,0.12444269247498913,0.07455357142857143
L23H5,23,0.1730470940270833,0.009190997317824186,0.009190997317824186,0.1730470940270833,-0.1638560967092591,-0.8991319844276779,0.38970136256531096,0.22900763358778625
L11H4,11,0.00859376160979933,0.019232814124687532,0.00859376160979933,0.019232814124687532,0.010639052514888203,0.3823342338778212,0.1669776119402985,0.13056668292774454
L19H6,19,0.05814320692160973,0.00825508117444205,0.00825508117444205,0.05814320692160973,-0.04988812574716768,-0.7513465659686814,0.32443446904217554,0.22433227150208282
L18H3,18,0.0075056349203053065,0.014968221007084392,0.0075056349203053065,0.014968221007084392,0.007462586086779086,0.33205632851299727,0.3262987012987013,0.28654716609813696
