source,target,support_weighted,support_unweighted
L17H8,MLP19,0.2000138385506884,0.1958041958041958
MLP16,L20H5,0.19858485206454737,0.20279720279720279
L17H2,MLP27,0.19229304760846422,0.1888111888111888
MLP17,L18H14,0.18914858383920644,0.1888111888111888
MLP11,MLP16,0.17571971033482522,0.17482517482517482
MLP17,MLP18,0.1694166792416461,0.16783216783216784
MLP17,L20H14,0.16628568528813378,0.16083916083916083
L21H12,L23H6,0.16489303996904248,0.16783216783216784
L11H1,MLP16,0.16482348877590813,0.16083916083916083
MLP16,L18H14,0.16428059291816638,0.16083916083916083
MLP11,L16H8,0.16166247160054245,0.16083916083916083
MLP16,L17H12,0.15902610810323248,0.16083916083916083
L16H8,MLP27,0.15687900223085302,0.16083916083916083
L13H9,MLP16,0.1553203801876115,0.15384615384615385
L16H8,L17H2,0.15307550398979974,0.14685314685314685
L16H4,L17H8,0.14906242897061797,0.14685314685314685
MLP12,L13H9,0.14657860998268,0.14685314685314685
MLP19,L20H14,0.14501929787861084,0.13986013986013987
L20H14,MLP27,0.1443255481709036,0.13986013986013987
L12H6,MLP16,0.14344068201951646,0.14685314685314685
MLP11,L16H4,0.14292490929910553,0.13986013986013987
MLP11,MLP12,0.14220259764659451,0.13986013986013987
L15H5,L16H8,0.13834273260397123,0.13286713286713286
L15H5,MLP16,0.13822488562205118,0.13286713286713286
Input Embed,MLP11,0.13628059247163793,0.13286713286713286
Input Embed,L11H1,0.135599404703561,0.13286713286713286
MLP19,MLP27,0.1352830062219081,0.13286713286713286
MLP12,L17H8,0.13370156930111346,0.13286713286713286
Input Embed,L9H3,0.1292941049934079,0.1258741258741259
L16H9,MLP17,0.1292425773889199,0.1258741258741259
L16H13,MLP17,0.12748668219664971,0.1258741258741259
Input Embed,MLP1,0.12109326632368966,0.11888111888111888
MLP16,MLP27,0.11927137615101983,0.11888111888111888
MLP17,MLP20,0.11814413066847944,0.11888111888111888
Input Embed,L2H15,0.11650034675368867,0.11888111888111888
Input Embed,MLP5,0.11524265562920101,0.11888111888111888
Input Embed,L2H14,0.11339794421966613,0.11888111888111888
MLP11,L12H6,0.11294766655875335,0.11188811188811189
L18H14,MLP19,0.11272418606521235,0.11188811188811189
L16H4,MLP27,0.10951711831040424,0.11188811188811189
L17H12,MLP27,0.1094144141455391,0.11188811188811189
L17H2,MLP19,0.10848380813400622,0.1048951048951049
L9H3,MLP12,0.1079297323370638,0.1048951048951049
Input Embed,MLP6,0.10700066303451496,0.1048951048951049
L13H3,MLP16,0.10609940883659545,0.1048951048951049
MLP12,MLP13,0.1048548145256959,0.11188811188811189
Input Embed,MLP3,0.10432921794672148,0.1048951048951049
Input Embed,MLP4,0.10297557556535357,0.1048951048951049
MLP13,L16H4,0.0985549809622889,0.1048951048951049
L17H8,MLP18,0.09258376661093137,0.09090909090909091
MLP13,MLP16,0.09242682324177114,0.0979020979020979
MLP20,L21H12,0.08834244826256853,0.09090909090909091
MLP13,L16H8,0.08800482917192609,0.0979020979020979
L11H1,L13H3,0.08737371651190473,0.08391608391608392
MLP12,L16H9,0.08513679837436972,0.08391608391608392
L16H4,L17H2,0.08481188918048008,0.08391608391608392
L18H14,MLP27,0.08420157083199306,0.08391608391608392
Input Embed,MLP2,0.08191565559277184,0.08391608391608392
L16H9,L17H8,0.08037164166948728,0.07692307692307693
MLP12,MLP17,0.08030402781255709,0.08391608391608392
MLP11,L13H9,0.0787551167792497,0.07692307692307693
L10H2,MLP11,0.07700942689740718,0.07692307692307693
Input Embed,MLP0,0.07655077210458161,0.07692307692307693
MLP16,MLP18,0.07587262077397759,0.07692307692307693
L12H6,MLP13,0.07572109350475417,0.08391608391608392
L13H6,MLP16,0.07501580221789629,0.07692307692307693
MLP12,L13H3,0.0735283520464953,0.07692307692307693
Input Embed,MLP10,0.07274278263401454,0.06993006993006994
L13H3,L15H5,0.07258411669257256,0.06993006993006994
MLP5,L12H6,0.07100028244802037,0.07692307692307693
MLP18,L23H6,0.07061146156607731,0.06993006993006994
Input Embed,MLP7,0.0699498049648581,0.06993006993006994
L21H12,L24H6,0.06914211289497273,0.06993006993006994
Input Embed,L6H0,0.06897965313927361,0.06993006993006994
MLP5,MLP12,0.0666025434699093,0.06993006993006994
L10H2,MLP12,0.06620964218269601,0.06993006993006994
MLP10,L16H8,0.06575861591139869,0.06293706293706294
MLP20,MLP27,0.06563477671005893,0.06293706293706294
L17H2,MLP18,0.06559624895853103,0.06293706293706294
MLP11,L16H9,0.06522382241490342,0.06293706293706294
L9H3,MLP11,0.06332248996887097,0.06293706293706294
MLP18,L21H1,0.062486834320531155,0.06293706293706294
MLP20,L23H6,0.0608414732659345,0.06293706293706294
L12H6,L13H3,0.060135786485665005,0.06293706293706294
MLP10,L15H5,0.05845210303235438,0.055944055944055944
L16H9,L17H14,0.058325033243153614,0.055944055944055944
MLP6,MLP11,0.057832350083777226,0.055944055944055944
L12H6,MLP27,0.05775083790186966,0.055944055944055944
MLP16,L17H14,0.05753958310865635,0.055944055944055944
L12H0,MLP16,0.05718022080948259,0.055944055944055944
MLP12,L17H2,0.056641759995411656,0.055944055944055944
MLP18,L24H6,0.055998435807988724,0.055944055944055944
L11H1,L16H4,0.055925265681317095,0.055944055944055944
L15H9,MLP16,0.055650289725782495,0.055944055944055944
L13H9,MLP27,0.05510687015412481,0.055944055944055944
