head,layer,set,n,tool_mass_median,no_tool_mass_median,delta_median_no_minus_tool,tool_mass_mean,no_tool_mass_mean
L18H14,18,tools_block,1722,0.0029906471027061343,0.0029731648974120617,-1.7482205294072628e-05,0.003097763216422068,0.0030590746832717293
L18H14,18,user_block,1722,0.023394146002829075,0.033108655363321304,0.00971450936049223,0.023441348336831723,0.03351472130393594
L20H5,20,contrast,1722,0.0003145203663734719,0.0003051406965823844,-9.379669791087508e-06,0.0006309160922402095,0.0004080394273620275
L20H5,20,prefix_16,1722,0.04192734323441982,0.06482727453112602,0.0228999312967062,0.04145118382593896,0.06656085892334909
L20H5,20,recent_32,1722,0.1632433459162712,0.2347245290875435,0.07148118317127228,0.16248940635347062,0.2454887579923169
L20H5,20,tool_call_tags,1722,0.0255737891420722,0.013973501976579428,-0.011600287165492773,0.026463106910089133,0.014498688929587706
L20H5,20,tools_block,1722,0.38907086849212646,0.2635975629091263,-0.12547330558300018,0.3912677791198925,0.26311517109646615
L20H5,20,user_block,1722,0.2221621870994568,0.3707663118839264,0.1486041247844696,0.22328127117808064,0.37202286085981384
L21H1,21,contrast,1722,0.0044281568843871355,0.003966170595958829,-0.0004619862884283066,0.00489124934645421,0.006259804631017676
L21H1,21,prefix_16,1722,0.3852234184741974,0.5566430687904358,0.1714196503162384,0.38009844068762316,0.548655643539977
L21H1,21,recent_32,1722,0.1442844122648239,0.13972288370132446,-0.004561528563499451,0.16729368052783916,0.14711707886568035
L21H1,21,tool_call_tags,1722,0.024856586940586567,0.01020001620054245,-0.014656570740044117,0.031219162255672697,0.013029464250771193
L21H1,21,tools_block,1722,0.10602998733520508,0.08272600919008255,-0.023303978145122528,0.10733803117628297,0.08256387883855698
L21H1,21,user_block,1722,0.2331445813179016,0.23784035444259644,0.004695773124694824,0.2629521939141998,0.2527357727618029
L21H12,21,contrast,1722,0.00035408623807597905,0.0008329785487148911,0.000478892310638912,0.0006731248770527676,0.001875329619865355
L21H12,21,prefix_16,1722,0.08596765995025635,0.17303215712308884,0.08706449717283249,0.0831360090551,0.1744617766524372
L21H12,21,recent_32,1722,0.0397768747061491,0.08884858340024948,0.04907170869410038,0.038728260362015675,0.08991245192915859
L21H12,21,tool_call_tags,1722,0.014764437451958656,0.008635792415589094,-0.006128645036369562,0.015273940097216115,0.00920239292557322
L21H12,21,tools_block,1722,0.24685949832201004,0.30983251333236694,0.0629730150103569,0.24484633811198944,0.30825599912947754
L21H12,21,user_block,1722,0.0488437432795763,0.11634472385048866,0.06750098057091236,0.04839183542846067,0.1209303479118145
L23H5,23,contrast,1722,0.00013780634617432952,0.000166524710948579,2.8718364774249494e-05,0.0003551132224155038,0.00043108282968895237
L23H5,23,prefix_16,1722,0.23300237953662872,0.29044751822948456,0.057445138692855835,0.26266972601638716,0.29122570519628704
L23H5,23,recent_32,1722,0.05416642129421234,0.08605662733316422,0.031890206038951874,0.054213582175707015,0.08668198200044386
L23H5,23,tool_call_tags,1722,0.2660200893878937,0.11884652078151703,-0.14717356860637665,0.26659999643295623,0.12215520350022391
L23H5,23,tools_block,1722,0.13068795949220657,0.14692484587430954,0.016236886382102966,0.1323130047630246,0.1511654296563235
L23H5,23,user_block,1722,0.08274317160248756,0.16702431440353394,0.08428114280104637,0.08116412853051959,0.14797292453421845
L23H6,23,contrast,1722,0.00035897124325856566,0.0002995023678522557,-5.946887540630996e-05,0.00041561040446232297,0.0003928628706284763
L23H6,23,prefix_16,1722,0.3980493098497391,0.4603307247161865,0.06228141486644745,0.4000376869646376,0.46204231594636186
L23H6,23,recent_32,1722,0.08324341475963593,0.10517860949039459,0.021935194730758667,0.08528054102987016,0.10613740906422216
L23H6,23,tool_call_tags,1722,0.005640228744596243,0.0053636368829756975,-0.0002765918616205454,0.006163913702119561,0.005780196005562872
L23H6,23,tools_block,1722,0.01339636230841279,0.01545333256945014,0.0020569702610373497,0.013750919325030588,0.01563194870157005
L23H6,23,user_block,1722,0.046940626576542854,0.06197667680680752,0.015036050230264664,0.0485376218208366,0.06241466052847526
L24H6,24,contrast,1722,0.00014780985657125711,0.0010532314772717655,0.0009054216207005084,0.00037445185710516173,0.002251190074158403
L24H6,24,prefix_16,1722,0.03568604774773121,0.2457684949040413,0.21008244715631008,0.03805278797101762,0.2664022995948653
L24H6,24,recent_32,1722,0.008925141301006079,0.03321175090968609,0.02428660960868001,0.00950700451463621,0.03353524693200293
L24H6,24,tool_call_tags,1722,0.9227971136569977,0.6247945129871368,-0.29800260066986084,0.9187738249872343,0.6005072719855591
L24H6,24,tools_block,1722,0.009185376577079296,0.03474408760666847,0.025558711029589176,0.010169764562065385,0.03365272363706229
L24H6,24,user_block,1722,0.0167619651183486,0.0555749349296093,0.0388129698112607,0.017908059838974283,0.0579952446713559
